date,AAPL,GOOG
2024-05-23,186.88,175.06
2024-05-24,189.98,176.33
2024-05-28,189.99,178.02
2024-05-29,190.29,177.4
2024-05-30,191.29,173.56
2024-05-31,192.25,173.96
2024-06-03,194.03,174.42
2024-06-04,194.35,175.13
2024-06-05,195.87,177.07
2024-06-06,194.48,178.35
2024-06-07,196.89,175.95
2024-06-10,193.12,176.63
2024-06-11,207.15,178.19
2024-06-12,213.07,179.56
2024-06-13,214.24,176.74
2024-06-14,212.49,178.37
2024-06-17,216.67,178.78
2024-06-18,214.29,176.45
2024-06-20,209.68,177.71
2024-06-21,207.49,180.26
2024-06-24,208.14,180.79
2024-06-25,209.07,185.58
2024-06-26,213.25,185.37
2024-06-27,214.1,186.86
2024-06-28,210.62,183.42
2024-07-01,216.75,184.49
2024-07-02,220.27,186.61
2024-07-03,221.55,187.39
2024-07-05,226.34,191.96
2024-07-08,227.82,190.48
2024-07-09,228.68,190.44
2024-07-10,232.98,192.66
2024-07-11,227.57,187.3
2024-07-12,230.54,186.78
2024-07-15,234.4,188.19
2024-07-16,234.82,185.5
2024-07-17,228.88,182.62
2024-07-18,224.18,179.22
2024-07-19,224.31,179.39
2024-07-22,223.96,183.35
2024-07-23,225.01,183.6
2024-07-24,218.54,174.37
2024-07-25,217.49,169.16
2024-07-26,217.96,168.68
2024-07-29,218.24,171.13
2024-07-30,218.8,171.86
2024-07-31,222.08,173.15
2024-08-01,218.36,172.45
2024-08-02,219.86,168.4
2024-08-05,209.27,160.64
2024-08-06,207.23,160.54
2024-08-07,209.82,160.75
2024-08-08,213.31,163.84
2024-08-09,216.24,165.39
2024-08-12,217.53,163.95
2024-08-13,221.27,165.93
2024-08-14,221.72,162.03
2024-08-15,224.72,163.17
2024-08-16,226.05,164.74
2024-08-19,225.89,168.4
2024-08-20,226.51,168.96
2024-08-21,226.4,167.63
2024-08-22,224.53,165.49
2024-08-23,226.84,167.43
2024-08-26,227.18,167.93
2024-08-27,228.03,166.38
2024-08-28,226.49,164.5
2024-08-29,229.79,163.4
2024-08-30,229.0,165.11
2024-09-03,222.77,158.61
2024-09-04,220.85,157.81
2024-09-05,222.38,158.6
2024-09-06,220.82,152.13
2024-09-09,220.91,149.54
2024-09-10,220.11,150.01
2024-09-11,222.66,152.15
2024-09-12,222.77,155.54
2024-09-13,222.5,158.37
2024-09-16,216.32,158.99
2024-09-17,216.79,160.28
2024-09-18,220.69,160.81
2024-09-19,228.87,163.24
2024-09-20,228.2,164.64
2024-09-23,226.47,163.07
2024-09-24,227.37,163.64
2024-09-25,226.37,162.99
2024-09-26,227.52,163.83
2024-09-27,227.79,165.29
2024-09-30,233.0,167.19
2024-10-01,226.21,168.42
2024-10-02,226.78,167.31
2024-10-03,225.67,167.21
2024-10-04,226.8,168.56
2024-10-07,221.69,164.39
2024-10-08,225.77,165.7
2024-10-09,229.54,163.06
2024-10-10,229.04,163.18
2024-10-11,227.55,164.52
2024-10-14,231.3,166.35
2024-10-15,233.85,166.9
2024-10-16,231.78,166.74
2024-10-17,232.15,164.51
2024-10-18,235.0,165.05
2024-10-21,236.48,165.8
2024-10-22,235.86,166.82
2024-10-23,230.76,164.48
2024-10-24,230.57,164.53
2024-10-25,231.41,166.99
2024-10-28,233.4,168.34
2024-10-29,233.67,171.14
2024-10-30,230.1,176.14
