date,open,high,low,close,adjusted_close,volume,warning
2024-05-23,178.78,179.91,174.54,175.06,174.2347,14928400,
2024-05-24,176.52,177.304,175.2,176.33,175.4987,11400600,
2024-05-28,175.74,178.51,175.68,178.02,177.1808,15655300,
2024-05-29,176.81,178.23,176.26,177.4,176.5637,15023800,
2024-05-30,176.69,176.69,173.23,173.56,172.7418,18844000,
2024-05-31,173.4,174.42,170.97,173.96,173.1399,28085200,
2024-06-03,173.88,175.86,172.45,174.42,173.5978,20742800,
2024-06-04,174.45,175.19,173.22,175.13,174.3044,14066600,
2024-06-05,176.535,177.97,175.29,177.07,176.2353,15233900,
2024-06-06,177.43,178.71,177.21,178.35,177.5092,14255800,
2024-06-07,178.46,179.42,175.79,175.95,175.1205,14716300,
2024-06-10,176.45,178.47,174.38,176.63,175.9974,17122200,
2024-06-11,177.72,178.39,175.44,178.19,177.5518,14402400,
2024-06-12,179.75,182.08,177.78,179.56,178.9169,18600400,
2024-06-13,177.84,178.51,176.66,176.74,176.107,15956900,
2024-06-14,175.852,178.73,175.852,178.37,177.7312,12361600,
2024-06-17,176.98,179.92,176.49,178.78,178.1397,15272900,
2024-06-18,178.79,178.91,175.62,176.45,175.818,15640300,
2024-06-20,176.71,178.74,176.46,177.71,177.0735,16753200,
2024-06-21,178.49,182.512,178.06,180.26,179.6144,59728000,
2024-06-24,181.28,182.08,180.23,180.79,180.1425,18198300,
2024-06-25,181.145,185.75,181.105,185.58,184.9153,18917700,
2024-06-26,184.2,185.93,183.99,185.37,184.7061,13375700,
2024-06-27,185.645,187.5,185.45,186.86,186.1907,13025700,
2024-06-28,185.72,186.58,183.325,183.42,182.7631,23032400,
2024-07-01,184.48,185.34,182.73,184.49,183.8292,11815900,
2024-07-02,183.47,186.95,183.06,186.61,185.9416,12555500,
2024-07-03,186.3,187.62,185.385,187.39,186.7188,7409100,
2024-07-05,187.32,192.26,187.32,191.96,191.2725,14303400,
2024-07-08,191.365,191.679,189.32,190.48,189.7978,12097600,
2024-07-09,191.75,192.86,190.23,190.44,189.7579,10198500,
2024-07-10,190.75,193.31,190.62,192.66,191.97,12052900,
2024-07-11,191.34,192.41,186.82,187.3,186.6292,16452000,
2024-07-12,186.92,188.69,186.14,186.78,186.111,14449100,
2024-07-15,186.49,189.9,186.49,188.19,187.516,12186000,
2024-07-16,188.96,190.34,185.12,185.5,184.8356,12760100,
2024-07-17,184.68,185.23,181.62,182.62,181.9659,17376600,
2024-07-18,183.54,184.05,178.21,179.22,178.5781,17877200,
2024-07-19,180.37,181.97,178.86,179.39,178.7475,14485900,
2024-07-22,182.35,184.3,181.9,183.35,182.6933,16303900,
