date,AAP,ABBV,ABT,ACN,ADBE,ADM,AOS,MMM
2024-05-28,70.18,155.34,101.95,297.73,478.43,60.89,82.54,98.68
2024-05-29,62.48,154.79,100.73,293.77,477.6,60.03,81.11,97.56
2024-05-30,66.96,156.31,101.74,284.8,445.87,60.14,82.06,98.2
2024-05-31,70.64,161.24,102.19,282.29,444.76,62.44,83.64,100.14
2024-06-03,67.42,160.19,102.87,281.76,439.02,61.99,82.2,99.76
2024-06-04,65.21,162.14,103.43,288.06,448.37,61.82,81.25,98.61
2024-06-05,65.27,165.44,103.23,291.02,455.8,61.07,82.08,99.06
2024-06-06,64.56,168.57,104.27,291.74,458.13,61.17,80.88,98.22
2024-06-07,64.58,169.42,107.58,288.4,465.43,61.27,81.08,100.86
2024-06-10,63.19,170.46,107.49,290.43,459.94,61.95,81.48,100.66
2024-06-11,63.74,167.7,105.81,294.22,462.69,61.49,81.59,101.32
2024-06-12,64.93,166.09,104.38,285.73,459.87,60.47,83.59,101.21
2024-06-13,63.93,166.56,103.45,282.32,458.74,60.73,83.67,101.54
2024-06-14,63.42,168.59,103.68,286.71,525.31,59.5,82.46,100.9
2024-06-17,64.17,169.68,103.45,285.53,518.74,60.16,83.68,100.53
2024-06-18,64.28,171.36,103.99,285.35,522.25,59.91,84.22,100.77
2024-06-20,66.14,172.13,106.57,306.16,522.95,61.01,83.92,101.66
2024-06-21,65.76,170.39,105.72,308.98,533.44,61.35,84.14,102.39
2024-06-24,65.3,172.74,105.3,307.21,524.17,62.13,84.43,102.99
2024-06-25,63.69,170.75,105.49,307.17,526.88,60.65,82.93,102.05
2024-06-26,61.79,171.15,104.88,304.62,528.66,60.67,82.38,101.45
2024-06-27,62.7,168.99,104.65,303.19,546.76,60.61,82.02,103.17
2024-06-28,63.33,171.52,103.91,303.41,555.54,60.45,81.78,102.19
2024-07-01,59.71,170.37,103.2,302.55,560.01,60.64,80.18,100.61
2024-07-02,60.6,165.96,103.2,303.83,567.71,62.13,80.89,101.62
2024-07-03,59.86,163.84,102.33,305.75,570.15,62.69,81.04,101.62
2024-07-05,58.72,167.25,104.02,299.14,578.34,61.36,80.48,101.32
2024-07-08,59.3,166.52,102.12,299.47,575.4,63.38,81.06,101.1
2024-07-09,57.91,168.05,101.64,298.06,566.02,63.13,80.73,99.69
2024-07-10,58.74,168.14,103.05,295.44,564.55,64.23,82.99,101.67
2024-07-11,61.73,169.91,104.18,297.99,557.63,64.25,86.08,103.23
2024-07-12,62.92,170.28,104.22,310.63,559.05,64.28,87.83,104.04
2024-07-15,62.42,168.03,102.96,317.87,565.71,63.4,87.8,102.72
2024-07-16,63.66,169.2,102.72,325.0,566.54,64.56,91.98,103.31
2024-07-17,64.44,175.27,104.68,325.6,563.09,65.72,90.14,104.64
2024-07-18,61.26,171.14,100.07,328.1,556.85,64.79,89.02,104.02
2024-07-19,59.62,172.32,102.03,329.19,551.0,64.19,87.99,103.92
