date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,69.89,71.62,69.75,70.18,68.5162,2559600,
2024-05-29,64.32,67.86,60.61,62.48,60.9988,7799400,
2024-05-30,62.51,67.51,62.5,66.96,65.3726,3675800,
2024-05-31,67.89,70.67,67.63,70.64,68.9653,2808000,
2024-06-03,70.38,71.09,66.28,67.42,65.8217,1654800,
2024-06-04,67.0,67.0,64.51,65.21,63.6641,1264900,
2024-06-05,65.75,66.18,63.81,65.27,63.7226,1579600,
2024-06-06,65.68,65.87,64.13,64.56,63.0295,1031300,
2024-06-07,63.8,64.96,63.55,64.58,63.049,1071900,
2024-06-10,64.18,64.32,62.93,63.19,61.692,1816500,
2024-06-11,63.24,63.92,62.44,63.74,62.2289,1070400,
2024-06-12,64.78,66.4,64.53,64.93,63.3907,1158700,
2024-06-13,64.55,65.47,62.85,63.93,62.4144,1647800,
2024-06-14,63.27,63.62,60.8,63.42,61.9165,1885700,
2024-06-17,63.1,65.15,62.57,64.17,62.6487,1661300,
2024-06-18,64.09,65.16,64.09,64.28,62.7561,1018600,
2024-06-20,63.91,66.39,63.83,66.14,64.572,1454700,
2024-06-21,66.12,67.03,65.15,65.76,64.201,2079600,
2024-06-24,65.67,66.08,64.98,65.3,63.7519,1482800,
2024-06-25,65.05,65.19,63.4,63.69,62.1801,1212200,
2024-06-26,63.08,63.5,61.72,61.79,60.3251,977200,
2024-06-27,61.82,63.37,61.27,62.7,61.2136,1116600,
2024-06-28,62.86,63.46,61.97,63.33,61.8286,1351100,
2024-07-01,62.58,62.82,59.45,59.71,58.2945,1767600,
2024-07-02,59.26,60.73,58.98,60.6,59.1634,1650800,
2024-07-03,60.79,61.13,59.66,59.86,58.4409,843700,
2024-07-05,59.72,59.92,58.01,58.72,57.3279,1753200,
2024-07-08,59.33,59.99,58.4,59.3,57.8942,1335700,
2024-07-09,59.04,59.13,57.83,57.91,56.5371,1222400,
2024-07-10,58.85,58.88,58.17,58.74,57.3474,916200,
2024-07-11,59.92,62.12,59.42,61.73,60.2666,1501600,
2024-07-12,61.92,63.98,61.55,62.92,61.6781,1594800,
2024-07-15,62.6,63.62,61.8,62.42,61.188,1110200,
2024-07-16,62.86,64.11,62.3,63.66,62.4035,1028500,
2024-07-17,63.03,64.92,62.21,64.44,63.1681,1410000,
2024-07-18,63.93,64.84,61.21,61.26,60.0509,1301800,
2024-07-19,61.2,61.35,59.35,59.62,58.4433,1269400,
2024-07-22,59.68,60.04,58.77,59.75,58.5707,1191400,
2024-07-23,58.66,59.84,58.33,59.64,58.4629,1239100,
2024-07-24,59.5,60.22,58.45,58.94,57.7767,1294800,
2024-07-25,58.84,61.44,58.84,60.17,58.9824,1651500,
2024-07-26,60.78,61.71,60.33,60.76,59.5608,1412400,
2024-07-29,61.0,61.72,60.6,60.99,59.7862,1405600,
2024-07-30,61.06,63.3,60.78,63.09,61.8448,1342900,
2024-07-31,63.14,64.58,62.81,63.33,62.0801,1077600,
2024-08-01,63.63,63.68,60.79,62.13,60.9037,932800,
2024-08-02,61.08,61.53,58.85,61.05,59.8451,1211500,
2024-08-05,58.35,59.58,57.02,58.86,57.6983,1453200,
2024-08-06,58.36,59.53,57.48,58.22,57.0709,1052200,
2024-08-07,59.14,60.58,58.59,58.99,57.8257,1296000,
2024-08-08,59.1,61.1,59.0,60.92,59.7176,1251700,
2024-08-09,61.33,61.33,59.92,60.21,59.0216,867500,
2024-08-12,60.57,60.57,57.81,58.06,56.9141,1271800,
2024-08-13,58.35,60.46,58.12,60.19,59.002,885400,
2024-08-14,60.65,61.37,60.0,60.5,59.3059,828200,
2024-08-15,62.12,63.12,61.43,62.39,61.1586,1253000,
2024-08-16,62.27,62.8,61.74,62.19,60.9626,995700,
2024-08-19,62.19,62.22,60.52,60.9,59.698,1295000,
2024-08-20,60.85,61.18,60.28,60.81,59.6098,967400,
2024-08-21,61.48,61.97,60.81,61.92,60.6979,1875800,
2024-08-22,48.4,53.89,48.29,51.1,50.0914,13812100,
2024-08-23,51.3,51.49,47.97,49.15,48.1799,6659300,
2024-08-26,49.71,49.83,48.36,49.11,48.1407,3511400,
2024-08-27,49.0,49.05,47.77,47.85,46.9056,3226400,
2024-08-28,47.38,48.3,46.48,46.64,45.7195,2826000,
2024-08-29,46.75,46.85,45.8,46.15,45.2391,2658300,
2024-08-30,46.46,46.62,44.9,45.31,44.4157,3065300,
2024-09-03,44.5,45.2,43.7,43.72,42.8571,2566600,
2024-09-04,43.56,43.73,41.94,42.42,41.5828,3120100,
2024-09-05,42.5,42.67,40.31,40.46,39.6614,3700300,
2024-09-06,40.37,41.19,39.53,39.76,38.9753,4033900,
2024-09-09,39.75,40.37,38.62,38.72,37.9558,3268500,
2024-09-10,38.59,39.47,38.11,38.53,37.7695,2633000,
2024-09-11,38.5,38.9,37.51,38.77,38.0048,3158400,
2024-09-12,38.79,39.52,38.31,39.48,38.7008,1713400,
2024-09-13,40.0,41.51,39.85,41.43,40.6123,2862900,
2024-09-16,41.8,41.98,40.37,41.14,40.328,2506000,
2024-09-17,41.63,41.74,40.73,41.33,40.5143,4960600,
2024-09-18,41.43,42.9,41.14,42.07,41.2397,4278900,
2024-09-19,43.05,43.39,41.88,42.43,41.5926,1878400,
2024-09-20,42.29,42.65,40.73,40.99,40.181,2857900,
2024-09-23,41.01,41.05,39.96,40.57,39.7693,1898400,
2024-09-24,40.6,41.26,40.25,40.91,40.1026,1987500,
2024-09-25,40.96,40.96,39.17,39.6,38.8184,2154000,
2024-09-26,39.89,40.9,39.88,40.23,39.436,2935100,
2024-09-27,40.83,42.49,40.83,41.38,40.5633,2784200,
2024-09-30,41.0,41.18,38.89,38.99,38.2205,3225700,
2024-10-01,38.5,38.73,37.52,37.78,37.0343,3043100,
2024-10-02,37.81,38.32,37.08,37.17,36.4364,2506800,
2024-10-03,36.9,39.24,36.4,38.89,38.1224,4860400,
2024-10-04,39.4,39.85,37.05,38.69,37.9264,5147600,
2024-10-07,38.88,39.92,38.49,39.09,38.3185,2871000,
2024-10-08,38.7,39.23,38.3,38.85,38.0832,1833800,
2024-10-09,39.02,39.45,38.01,38.44,37.6813,3437000,
