date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,156.35,156.35,153.949,155.34,149.8857,5533467,
2024-05-29,154.89,156.38,153.68,154.79,149.355,4254540,
2024-05-30,154.65,156.43,153.58,156.31,150.8216,4311479,
2024-05-31,156.65,161.64,156.2,161.24,155.5785,15664430,
2024-06-03,160.0,163.19,158.83,160.19,154.5654,4467810,
2024-06-04,160.19,162.81,159.77,162.14,156.4469,4215545,
2024-06-05,162.9,165.98,162.16,165.44,159.6311,5100491,
2024-06-06,165.49,168.88,164.35,168.57,162.6512,5186713,
2024-06-07,169.0,170.34,167.79,169.42,163.4713,3781858,
2024-06-10,169.0,170.75,167.69,170.46,164.4748,4247645,
2024-06-11,170.25,170.64,167.42,167.7,161.8117,3790165,
2024-06-12,167.875,168.535,165.03,166.09,160.2582,4725634,
2024-06-13,166.0,166.9,165.0,166.56,160.7117,3690807,
2024-06-14,166.47,169.24,166.0,168.59,162.6705,4377638,
2024-06-17,168.4,170.4,167.36,169.68,163.7222,4075952,
2024-06-18,170.44,173.01,169.87,171.36,165.3432,4250883,
2024-06-20,171.18,172.81,170.02,172.13,166.0862,5847461,
2024-06-21,172.7,172.93,169.59,170.39,164.4073,12308050,
2024-06-24,171.13,173.41,170.7,172.74,166.6747,6249937,
2024-06-25,172.1,173.41,170.62,170.75,164.7546,5712698,
2024-06-26,170.29,172.35,170.15,171.15,165.1406,5576094,
2024-06-27,171.29,171.555,167.75,168.99,163.0564,5381953,
2024-06-28,169.99,171.82,169.05,171.52,165.4976,24463600,
2024-07-01,171.27,173.88,169.535,170.37,164.388,5194744,
2024-07-02,168.63,168.63,165.45,165.96,160.1328,5965457,
2024-07-03,166.09,167.1,163.52,163.84,158.0872,3527612,
2024-07-05,164.72,167.31,163.63,167.25,161.3775,5978524,
2024-07-08,166.54,167.717,165.62,166.52,160.6731,3500155,
2024-07-09,167.02,168.53,164.86,168.05,162.1494,4224705,
2024-07-10,167.45,168.45,166.1101,168.14,162.2363,3887959,
2024-07-11,167.52,170.35,167.35,169.91,163.9441,3689530,
2024-07-12,170.63,171.625,169.9,170.28,164.3011,4133520,
