date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,103.57,103.59,101.56,101.95,99.9418,4771100,
2024-05-29,101.09,101.77,100.64,100.73,98.7458,4960900,
2024-05-30,101.28,102.61,100.86,101.74,99.7359,5126700,
2024-05-31,101.86,102.3,101.39,102.19,100.1771,7915700,
2024-06-03,102.17,104.13,101.92,102.87,100.8437,4915100,
2024-06-04,102.8,103.49,102.54,103.43,101.3926,3880400,
2024-06-05,102.93,103.42,101.98,103.23,101.1966,3302300,
2024-06-06,103.29,105.0,102.81,104.27,102.2161,9835500,
2024-06-07,103.86,108.13,103.37,107.58,105.4609,8666600,
2024-06-10,107.63,108.98,107.04,107.49,105.3727,8556500,
2024-06-11,107.32,107.32,105.53,105.81,103.7258,7536000,
2024-06-12,105.91,105.91,104.29,104.38,102.3239,4569000,
2024-06-13,103.64,103.7,102.6,103.45,101.4123,4719500,
2024-06-14,103.29,103.72,102.43,103.68,101.6377,3683100,
2024-06-17,102.91,103.94,102.54,103.45,101.4123,3936200,
2024-06-18,103.26,104.09,103.25,103.99,101.9416,4501000,
2024-06-20,103.53,106.84,103.47,106.57,104.4708,9154900,
2024-06-21,106.66,106.93,105.24,105.72,103.6375,10329100,
2024-06-24,106.29,106.29,104.94,105.3,103.2258,5201300,
2024-06-25,105.4,105.98,104.82,105.49,103.4121,4722600,
2024-06-26,105.09,105.65,104.32,104.88,102.8141,5406600,
2024-06-27,105.25,105.32,103.92,104.65,102.5886,4137600,
2024-06-28,104.7,105.16,103.53,103.91,101.8632,8283600,
2024-07-01,104.16,105.51,102.61,103.2,101.1672,4588900,
2024-07-02,102.7,103.39,102.7,103.2,101.1672,3650500,
2024-07-03,103.36,103.66,102.18,102.33,100.3143,2017800,
2024-07-05,102.03,104.07,101.76,104.02,101.971,6582700,
2024-07-08,103.78,103.85,101.94,102.12,100.1085,4542000,
2024-07-09,102.39,102.59,100.75,101.64,99.6379,6268500,
2024-07-10,101.42,103.08,101.27,103.05,101.0201,6598900,
2024-07-11,103.38,104.64,103.06,104.18,102.1279,5025300,
2024-07-12,104.67,104.93,104.11,104.22,102.1671,4277600,
2024-07-15,103.93,104.16,102.58,102.96,101.4674,4970800,
2024-07-16,102.92,103.87,102.51,102.72,101.2309,7656900,
2024-07-17,102.65,105.65,102.5,104.68,103.1624,13438300,
2024-07-18,102.39,104.15,99.71,100.07,98.6193,13078800,
2024-07-19,100.61,102.4,100.08,102.03,100.5509,11963600,
2024-07-22,102.5,103.83,102.31,103.72,102.2164,7880300,
2024-07-23,104.01,104.33,103.37,103.92,102.4135,5894500,
2024-07-24,104.22,107.31,103.54,107.26,105.705,8680900,
2024-07-25,107.02,108.71,105.92,105.96,104.4239,6356600,
2024-07-26,106.46,107.14,104.66,105.24,103.7143,8611600,
2024-07-29,100.59,105.18,99.92,104.77,103.2511,19452700,
2024-07-30,104.76,105.68,102.78,105.32,103.7932,9126300,
2024-07-31,105.5,106.83,103.55,105.94,104.4042,8238400,
