date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,299.37,300.32,295.82,297.73,292.5284,3530200,
2024-05-29,294.15,296.1,291.01,293.77,288.6375,4480000,
2024-05-30,289.97,290.5,284.29,284.8,279.8243,5007800,
2024-05-31,284.8,285.39,278.69,282.29,277.3581,6882000,
2024-06-03,286.35,287.52,280.71,281.76,276.8374,3596600,
2024-06-04,281.76,288.88,280.34,288.06,283.0273,3498600,
2024-06-05,288.26,292.31,288.06,291.02,285.9356,3002200,
2024-06-06,291.2,293.87,290.6,291.74,286.643,2363200,
2024-06-07,291.44,291.81,288.15,288.4,283.3614,2626900,
2024-06-10,287.38,290.52,287.0,290.43,285.3559,2509900,
2024-06-11,290.12,294.31,288.79,294.22,289.0797,2457600,
2024-06-12,291.63,294.15,285.44,285.73,280.738,3749600,
2024-06-13,287.67,289.55,282.09,282.32,277.3876,3119200,
2024-06-14,281.41,286.95,280.71,286.71,281.7009,2966200,
2024-06-17,286.23,288.6,283.95,285.53,280.5415,3559600,
2024-06-18,285.31,289.91,284.39,285.35,280.3646,5314900,
2024-06-20,314.63,317.73,298.0,306.16,300.8111,11374600,
2024-06-21,307.03,310.35,302.58,308.98,303.5818,8481800,
2024-06-24,305.36,312.37,304.68,307.21,301.8427,4399600,
2024-06-25,307.98,310.0,305.43,307.17,301.8034,4498700,
2024-06-26,299.92,305.74,299.43,304.62,299.298,3162100,
2024-06-27,305.0,305.46,301.46,303.19,297.893,3162000,
2024-06-28,303.54,305.55,301.65,303.41,298.1091,14905500,
2024-07-01,303.73,304.36,299.6,302.55,297.2641,2411100,
2024-07-02,300.93,304.0,300.93,303.83,298.5218,2177200,
2024-07-03,304.75,306.89,303.98,305.75,300.4082,1751200,
2024-07-05,304.91,305.7,297.68,299.14,293.9137,3158900,
2024-07-08,300.46,301.95,295.6,299.47,294.238,2557700,
2024-07-09,299.09,299.15,294.48,298.06,292.8526,2479200,
2024-07-10,296.9,298.0,290.53,295.44,290.2784,2283500,
2024-07-11,295.44,302.18,293.98,297.99,294.0678,2988000,
2024-07-12,299.59,312.02,299.03,310.63,306.5415,3951600,
2024-07-15,312.67,319.37,312.67,317.87,313.6862,3866200,
2024-07-16,318.38,325.15,318.03,325.0,320.7223,3640500,
2024-07-17,325.95,328.57,323.62,325.6,321.3144,4383900,
2024-07-18,329.41,336.25,327.84,328.1,323.7815,4563600,
2024-07-19,331.09,335.79,327.71,329.19,324.8572,5376200,
