date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,60.49,61.16,60.3,60.89,58.547,2875800,
2024-05-29,60.49,60.59,59.89,60.03,57.7201,3000500,
2024-05-30,59.84,60.52,59.35,60.14,57.8258,4713100,
2024-05-31,60.27,62.45,60.18,62.44,60.0373,8436900,
2024-06-03,62.05,62.8,61.24,61.99,59.6046,3677300,
2024-06-04,61.53,62.51,61.46,61.82,59.4412,5003700,
2024-06-05,61.82,62.13,60.47,61.07,58.72,3419300,
2024-06-06,61.01,62.14,60.77,61.17,58.8162,3082200,
2024-06-07,60.99,61.49,60.29,61.27,58.9124,3185800,
2024-06-10,61.27,62.21,61.13,61.95,59.5662,4084000,
2024-06-11,61.5,61.6,60.81,61.49,59.1239,2563000,
2024-06-12,61.8,61.91,60.4,60.47,58.1431,2703100,
2024-06-13,60.42,61.07,60.11,60.73,58.3931,2499600,
2024-06-14,60.44,60.93,59.27,59.5,57.2105,2623900,
2024-06-17,59.0,60.28,58.46,60.16,57.8451,2855100,
2024-06-18,60.02,60.42,59.25,59.91,57.6047,3401000,
2024-06-20,59.81,61.1,59.68,61.01,58.6624,3599400,
2024-06-21,61.16,61.5,60.57,61.35,58.9893,22497800,
2024-06-24,61.11,62.27,60.59,62.13,59.7393,4346300,
2024-06-25,61.91,62.03,60.61,60.65,58.3162,3908900,
2024-06-26,60.31,61.17,60.18,60.67,58.3354,3041900,
2024-06-27,60.71,61.21,60.39,60.61,58.2778,2300300,
2024-06-28,60.77,60.93,60.21,60.45,58.1239,11726000,
2024-07-01,60.82,61.41,60.46,60.64,58.3066,2185500,
2024-07-02,60.74,62.16,60.61,62.13,59.7393,3581100,
2024-07-03,62.37,62.69,62.07,62.69,60.2777,2680500,
2024-07-05,62.04,62.59,60.64,61.36,58.9989,4111700,
2024-07-08,61.36,63.47,61.32,63.38,60.9412,4534800,
2024-07-09,63.36,64.24,62.97,63.13,60.7008,3974100,
2024-07-10,63.5,64.29,62.82,64.23,61.7585,3882700,
2024-07-11,64.46,65.17,63.91,64.25,61.7777,3295800,
2024-07-12,64.68,64.74,63.99,64.28,61.8065,2378600,
2024-07-15,64.18,64.5,63.31,63.4,60.9604,2869200,
2024-07-16,63.0,64.68,62.63,64.56,62.0758,2130000,
2024-07-17,64.73,65.79,64.72,65.72,63.1911,2490500,
2024-07-18,65.28,66.08,64.66,64.79,62.2969,1947500,
2024-07-19,64.91,64.92,63.53,64.19,61.72,2730400,
2024-07-22,64.39,64.39,63.41,64.15,61.6815,1404300,
2024-07-23,63.81,63.99,62.19,62.22,59.8258,2255400,
2024-07-24,62.17,63.04,61.89,62.65,60.2393,1847300,
2024-07-25,62.8,64.31,62.8,63.32,60.8835,1998700,
2024-07-26,63.32,64.03,63.14,63.98,61.5181,2048300,
2024-07-29,63.78,64.24,63.28,63.3,60.8642,3293500,
2024-07-30,61.0,63.14,59.04,62.5,60.095,6377400,
2024-07-31,62.12,62.63,61.0,62.01,59.6239,4783600,
2024-08-01,62.31,62.67,60.14,60.48,58.1528,3561900,
2024-08-02,60.26,60.57,58.65,58.91,56.6432,4081500,
2024-08-05,58.0,58.96,57.58,58.18,55.9413,4091700,
2024-08-06,58.3,58.66,57.74,57.96,55.7297,3019500,
2024-08-07,58.61,59.21,58.15,58.18,55.9413,2778100,
2024-08-08,58.27,59.24,58.27,58.48,56.2297,1849200,
2024-08-09,58.27,58.5,57.92,58.44,56.1913,1640200,
2024-08-12,58.5,58.6,57.72,58.07,55.8355,2045800,
2024-08-13,57.88,58.43,56.88,58.38,56.1336,3625500,
2024-08-14,58.38,58.42,57.94,58.38,56.1336,2353300,
2024-08-15,58.63,59.15,58.3,58.86,56.5951,2589200,
2024-08-16,58.82,59.13,58.55,59.09,56.8162,2036500,
2024-08-19,59.1,59.84,59.1,59.68,57.3835,2301100,
2024-08-20,59.6,59.74,58.99,59.01,56.7393,1833800,
2024-08-21,58.74,59.27,58.62,59.22,57.4278,1875900,
2024-08-22,59.27,59.32,58.64,59.25,57.4569,1875100,
2024-08-23,59.55,60.53,59.34,60.5,58.6691,1713000,
2024-08-26,60.73,61.04,60.32,60.74,58.9018,1703700,
2024-08-27,60.8,60.85,59.98,60.56,58.7273,1787100,
2024-08-28,60.07,61.02,59.72,60.96,59.1152,1654500,
2024-08-29,61.1,61.14,59.96,60.84,58.9988,1535700,
2024-08-30,60.95,61.12,60.51,60.99,59.1443,3369000,
2024-09-03,60.45,60.85,60.15,60.62,58.7855,2302900,
2024-09-04,60.81,61.64,60.65,61.42,59.5613,2388500,
2024-09-05,61.59,62.05,60.03,60.07,58.2521,3138500,
2024-09-06,60.03,60.55,59.19,59.47,57.6703,2641500,
2024-09-09,59.72,60.07,59.19,59.5,57.6994,1996000,
2024-09-10,59.61,59.61,58.24,59.05,57.263,3220600,
2024-09-11,59.22,59.22,58.11,59.0,57.2145,2535500,
2024-09-12,59.0,59.78,58.51,59.62,57.8157,2145100,
2024-09-13,59.89,60.4,59.65,60.39,58.5624,1837400,
2024-09-16,60.85,60.95,59.85,60.41,58.5818,1602800,
2024-09-17,60.71,60.85,60.22,60.46,58.6303,1837700,
2024-09-18,60.4,61.05,60.11,60.53,58.6982,2050500,
2024-09-19,61.05,62.61,60.83,62.45,60.5601,4254900,
2024-09-20,62.24,62.24,60.92,61.36,59.5031,11786600,
2024-09-23,60.98,61.74,60.57,60.91,59.0667,3112100,
