date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,84.69,84.82,82.44,82.54,81.0359,872500,
2024-05-29,81.76,82.33,80.93,81.11,79.6319,1391100,
2024-05-30,81.26,82.44,81.17,82.06,80.5646,864600,
2024-05-31,82.21,83.77,82.08,83.64,82.1158,2391400,
2024-06-03,83.52,83.75,81.23,82.2,80.7021,755300,
2024-06-04,81.94,82.18,81.07,81.25,79.7694,814200,
2024-06-05,81.37,82.35,80.66,82.08,80.5843,520300,
2024-06-06,81.92,82.41,80.38,80.88,79.4061,568200,
2024-06-07,80.51,81.37,80.23,81.08,79.6025,526300,
2024-06-10,80.71,81.53,80.59,81.48,79.9952,450300,
2024-06-11,81.2,81.64,80.37,81.59,80.1032,466600,
2024-06-12,83.63,84.3,83.11,83.59,82.0667,712000,
2024-06-13,83.34,83.83,82.32,83.67,82.1453,687900,
2024-06-14,82.6,82.89,80.99,82.46,80.9573,699600,
2024-06-17,82.16,83.7,82.16,83.68,82.1551,714800,
2024-06-18,83.54,84.65,83.2,84.22,82.6853,782100,
2024-06-20,83.89,84.54,83.49,83.92,82.3907,643900,
2024-06-21,83.96,84.26,82.75,84.14,82.6067,1486400,
2024-06-24,84.33,85.59,83.92,84.43,82.8914,928600,
2024-06-25,83.93,84.22,82.02,82.93,81.4188,922500,
2024-06-26,82.5,82.56,81.77,82.38,80.8788,876900,
2024-06-27,81.69,82.67,81.67,82.02,80.5254,868500,
2024-06-28,82.14,83.37,81.26,81.78,80.2897,1378400,
2024-07-01,82.19,82.24,80.17,80.18,78.7189,623200,
2024-07-02,80.0,81.1,79.68,80.89,79.4159,1028800,
2024-07-03,80.77,81.68,80.53,81.04,79.5632,539800,
2024-07-05,80.37,80.66,79.17,80.48,79.0134,1190100,
2024-07-08,80.72,81.35,80.43,81.06,79.5828,726800,
2024-07-09,80.84,81.32,80.2,80.73,79.2589,968600,
2024-07-10,81.18,83.13,81.08,82.99,81.4777,1014100,
2024-07-11,84.19,86.38,83.77,86.08,84.5114,1004700,
2024-07-12,86.94,88.64,86.65,87.83,86.2295,999000,
2024-07-15,88.22,89.19,87.7,87.8,86.2,1154700,
2024-07-16,88.77,92.14,88.5,91.98,90.3039,1338300,
2024-07-17,91.47,92.13,90.14,90.14,88.4974,850900,
2024-07-18,89.8,92.45,88.84,89.02,87.3978,1025900,
2024-07-19,89.36,89.68,87.57,87.99,86.3866,1038600,
2024-07-22,88.15,89.08,86.67,88.81,87.1916,1138800,
2024-07-23,80.92,85.07,79.83,80.47,79.0036,2721300,
2024-07-24,80.88,82.5,80.65,80.76,79.2883,2167100,
2024-07-25,81.17,83.33,81.11,82.18,80.6824,1505600,
2024-07-26,83.55,84.91,83.3,84.5,82.9602,1149800,
2024-07-29,84.5,85.29,83.82,84.5,82.9602,1059000,
2024-07-30,85.22,85.98,84.99,85.45,83.8928,881100,
2024-07-31,85.62,85.85,84.76,85.04,83.8042,1746400,
2024-08-01,85.02,85.87,81.36,82.54,81.3405,874700,
2024-08-02,81.7,82.46,80.27,82.4,81.2025,1106000,
2024-08-05,80.73,82.56,79.67,81.65,80.4634,1243300,
2024-08-06,81.8,83.43,81.29,81.66,80.4733,860000,
2024-08-07,81.99,83.62,79.96,80.27,79.1035,1291700,
2024-08-08,80.8,81.49,79.79,80.49,79.3203,1075100,
2024-08-09,80.53,81.27,79.61,80.27,79.1035,628000,
2024-08-12,80.21,80.41,78.76,78.87,77.7238,698800,
2024-08-13,79.51,79.79,78.63,79.57,78.4136,679900,
2024-08-14,79.95,80.35,79.17,79.76,78.6009,652200,
2024-08-15,80.86,81.25,79.86,80.25,79.0838,735100,
2024-08-16,80.16,80.52,79.43,79.65,78.4925,834200,
2024-08-19,79.91,80.71,79.59,80.7,79.5272,584900,
2024-08-20,80.63,81.11,80.38,80.8,79.6258,605300,
2024-08-21,81.19,81.94,81.02,81.88,80.6901,573100,
2024-08-22,81.82,82.1,80.88,81.13,79.951,627700,
2024-08-23,81.82,83.09,81.18,82.54,81.3405,562300,
2024-08-26,82.96,83.22,82.12,82.36,81.1631,562100,
2024-08-27,81.85,82.39,80.99,81.76,80.5718,702400,
2024-08-28,81.72,82.65,81.59,81.84,80.6507,577000,
2024-08-29,82.4,82.94,81.13,82.1,80.9069,603700,
2024-08-30,82.48,83.86,82.43,83.72,82.5033,1007100,
2024-09-03,83.53,83.67,80.65,81.26,80.0791,740800,
2024-09-04,81.09,81.26,79.76,80.35,79.1823,625100,
2024-09-05,79.87,79.95,76.94,77.86,76.7285,1561800,
2024-09-06,78.04,78.63,76.78,76.91,75.7923,864900,
2024-09-09,77.33,77.99,76.8,77.89,76.7581,830900,
2024-09-10,78.14,78.81,77.71,78.68,77.5366,556700,
2024-09-11,78.48,78.57,76.63,78.46,77.3198,593100,
2024-09-12,78.4,79.42,77.88,79.4,78.2461,982200,
2024-09-13,79.75,80.59,79.42,79.97,78.8078,986200,
2024-09-16,80.82,81.93,80.45,81.7,80.5127,821000,
2024-09-17,82.09,83.25,81.93,82.47,81.2715,583600,
2024-09-18,82.9,84.29,82.3,82.89,81.6854,904200,
2024-09-19,84.5,84.5,83.36,84.29,83.0651,679500,
2024-09-20,84.02,84.19,82.62,82.89,81.6854,2338900,
2024-09-23,83.3,84.2,83.08,83.98,82.7596,668400,
2024-09-24,84.04,85.77,83.84,85.74,84.494,940700,
2024-09-25,85.97,86.12,85.16,85.84,84.5925,805800,
2024-09-26,86.93,89.91,86.75,89.31,88.0121,1799400,
2024-09-27,89.97,92.06,89.82,90.59,89.2735,1631300,
2024-09-30,90.6,90.84,89.48,89.83,88.5245,1065800,
2024-10-01,89.96,90.15,88.23,88.94,87.6475,847600,
2024-10-02,88.42,88.54,87.13,88.03,86.7507,981900,
2024-10-03,87.64,88.02,86.56,87.51,86.2383,886000,
2024-10-04,88.08,88.14,86.74,87.4,86.1299,653500,
2024-10-07,86.88,88.41,86.29,88.15,86.869,629900,
2024-10-08,87.75,87.87,85.93,86.45,85.1937,1536800,
2024-10-09,86.98,87.88,86.85,87.68,86.4058,635500,
2024-10-10,87.0,87.39,86.16,86.26,85.0064,808400,
2024-10-11,80.34,83.2,79.5,80.87,79.6948,2379100,
2024-10-14,81.03,82.71,80.65,82.62,81.4193,1345400,
2024-10-15,82.5,83.01,80.9,80.95,79.7736,1379200,
2024-10-16,81.36,81.92,80.2,80.23,79.0641,1158100,
2024-10-17,79.87,80.23,78.22,78.75,77.6056,1772800,
2024-10-18,79.0,79.17,78.28,78.75,77.6056,1032200,
2024-10-21,78.83,79.6,78.11,78.6,77.4577,1196600,
2024-10-22,79.66,80.26,78.0,78.21,77.0734,1549900,
2024-10-23,77.99,80.24,77.23,77.3,76.1766,1396300,
2024-10-24,77.2,78.0,76.53,77.34,76.2161,851400,
2024-10-25,77.37,78.11,76.66,76.87,75.7529,822000,
2024-10-28,77.33,78.25,76.94,77.0,75.881,710300,
2024-10-29,76.06,77.04,75.51,76.35,75.2404,877300,
2024-10-30,76.07,76.91,75.71,75.91,74.8068,917400,
2024-10-31,75.41,75.83,74.81,75.1,74.3416,1977500,
2024-11-01,75.41,76.31,75.03,75.4,74.6386,811300,
2024-11-04,75.4,76.28,74.8,75.14,74.3812,716400,
2024-11-05,75.0,75.99,74.8,75.92,75.1533,709000,
2024-11-06,77.0,77.92,75.47,76.21,75.4404,1422200,
2024-11-07,76.26,76.66,75.66,76.03,75.2622,1299000,
2024-11-08,76.01,76.28,74.81,74.86,74.104,1289400,
2024-11-11,75.08,75.71,74.69,75.1,74.3416,1215100,
2024-11-12,74.71,75.08,73.05,73.14,72.4014,1323800,
2024-11-13,73.38,73.5,72.62,73.11,72.3717,1066400,
2024-11-14,73.0,73.8,72.91,73.0,72.2628,1002400,
2024-11-15,72.78,73.28,72.15,72.23,71.5006,1214400,
