date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,29.61,30.03,29.552,29.83,28.5256,4687898,
2024-05-29,29.8,29.97,28.7325,29.17,27.8945,7221011,
2024-05-30,29.16,29.859,29.16,29.73,28.43,5421060,
2024-05-31,29.85,30.64,29.8024,30.53,29.195,14922031,
2024-06-03,30.65,30.7,29.24,29.44,28.1527,8022893,
2024-06-04,29.13,29.26,28.67,28.96,27.6937,5729624,
2024-06-05,29.08,29.24,28.815,29.0,27.7319,4674553,
2024-06-06,28.93,29.335,28.81,29.23,27.9519,3577813,
2024-06-07,28.97,29.36,28.7,28.85,27.5885,3621559,
2024-06-10,28.99,29.755,28.87,29.47,28.1814,4278571,
2024-06-11,29.17,29.75,28.99,29.69,28.3917,4158350,
2024-06-12,30.08,30.49,29.16,29.33,28.0475,6211743,
2024-06-13,29.07,29.23,28.21,28.57,27.3207,5387366,
2024-06-14,28.16,28.29,27.36,27.82,26.6035,9514786,
2024-06-17,27.9,28.2,27.505,27.94,26.7183,5541160,
2024-06-18,28.0,28.57,27.885,28.0,26.7756,5601281,
2024-06-20,28.04,28.48,27.17,28.3,27.0625,4879372,
2024-06-21,28.3,28.42,27.985,28.09,26.8617,12079109,
2024-06-24,28.25,29.515,28.225,29.34,28.057,6535875,
2024-06-25,29.27,29.305,28.71,29.0,27.7319,5178398,
2024-06-26,28.96,28.99,28.35,28.64,27.3877,5614376,
2024-06-27,28.99,29.139,28.78,29.07,27.7989,4154143,
2024-06-28,29.39,29.55,28.94,29.44,28.1527,11159677,
2024-07-01,29.75,29.9458,29.085,29.63,28.3344,5428637,
2024-07-02,29.72,29.925,28.965,29.36,28.0762,5906924,
2024-07-03,29.55,29.9099,29.34,29.43,28.1431,2035787,
2024-07-05,29.3,29.45,28.47,28.6,27.3494,8165164,
2024-07-08,28.4,28.875,28.39,28.84,27.5789,2914287,
2024-07-09,28.62,29.215,28.4555,28.79,27.5311,3304607,
2024-07-10,28.79,28.94,28.555,28.77,27.512,3212412,
2024-07-11,28.92,29.89,28.72,29.79,28.4874,4280096,
2024-07-12,29.97,30.145,29.4347,29.97,28.6595,4201808,
2024-07-15,29.97,31.685,29.95,31.46,30.0843,6388759,
2024-07-16,31.15,31.69,30.88,31.67,30.2852,4852629,
2024-07-17,31.9,32.51,31.84,32.22,30.8111,4858230,
2024-07-18,32.35,33.15,31.97,32.15,30.7442,6462842,
2024-07-19,32.09,32.25,31.54,32.01,30.6103,4457219,
2024-07-22,31.63,31.78,31.08,31.27,30.138,4602785,
2024-07-23,31.07,31.16,30.615,30.69,29.579,3814337,
2024-07-24,30.95,31.085,30.18,30.28,29.1839,3846805,
2024-07-25,30.19,31.52,30.13,31.28,30.1477,3953820,
2024-07-26,31.34,31.58,30.865,31.21,30.0802,3493116,
2024-07-29,31.15,31.35,30.29,30.78,29.6658,3323838,
