date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,32.38,32.69,32.21,32.41,31.6791,4978100,
2024-05-29,32.26,32.32,31.73,31.93,31.21,4699600,
2024-05-30,31.87,32.53,31.85,32.48,31.7476,5344700,
2024-05-31,32.5,33.53,32.39,33.48,32.725,11234900,
2024-06-03,33.48,33.52,31.87,32.15,31.425,7403200,
2024-06-04,31.98,31.98,31.23,31.63,30.9167,5407600,
2024-06-05,31.74,31.93,31.55,31.75,31.034,4661400,
2024-06-06,31.62,31.84,31.4,31.75,31.034,8449300,
2024-06-07,31.72,31.85,31.52,31.64,30.9265,6770500,
2024-06-10,31.75,32.59,31.64,32.44,31.7085,11739400,
2024-06-11,32.12,32.29,31.75,32.24,31.513,7952700,
2024-06-12,32.42,32.6,31.96,32.24,31.513,6306800,
2024-06-13,32.28,32.28,31.29,31.63,30.9167,4681300,
2024-06-14,31.55,31.61,30.93,31.09,30.3889,5243300,
2024-06-17,31.01,32.13,30.93,32.03,31.3077,5642100,
2024-06-18,32.04,32.49,32.01,32.14,31.4152,5903500,
2024-06-20,32.17,33.05,32.12,32.97,32.2265,5775000,
2024-06-21,33.2,33.21,32.78,32.93,32.1874,14462800,
2024-06-24,33.16,34.53,33.12,34.41,33.634,6892100,
2024-06-25,34.4,34.92,34.21,34.85,34.0641,6346200,
2024-06-26,34.84,34.85,34.29,34.47,33.6927,5758100,
2024-06-27,34.61,34.76,34.26,34.42,33.6438,5117600,
2024-06-28,34.75,35.3,34.63,35.17,34.3769,10110700,
2024-07-01,35.35,35.44,34.7,34.94,34.1521,4998800,
2024-07-02,35.1,35.3,34.56,34.69,33.9077,4665300,
2024-07-03,34.69,34.94,34.37,34.47,33.6927,2796600,
2024-07-05,34.45,34.64,33.94,34.22,33.4483,3822100,
2024-07-08,34.14,34.24,33.91,34.17,33.3994,4252800,
2024-07-09,34.0,34.17,33.35,33.43,32.6761,4475200,
2024-07-10,33.45,33.99,33.31,33.84,33.0769,3274900,
2024-07-11,33.84,34.59,33.71,34.51,33.7318,6845900,
2024-07-12,34.72,34.8,34.36,34.5,33.722,4748000,
2024-07-15,34.61,36.21,34.5,35.71,34.9047,8736500,
2024-07-16,35.56,36.61,35.45,36.3,35.4814,8267700,
2024-07-17,36.34,36.61,36.03,36.16,35.3446,4747300,
2024-07-18,36.13,36.56,35.85,35.89,35.0807,4572700,
2024-07-19,35.72,36.35,35.16,35.93,35.1198,5022900,
2024-07-22,35.8,35.96,35.5,35.66,34.8558,3784200,
2024-07-23,35.61,35.83,35.27,35.65,34.8461,3992100,
2024-07-24,35.72,35.8,34.85,34.9,34.113,4957100,
2024-07-25,34.99,35.84,34.81,35.58,34.7777,7021800,
2024-07-26,36.32,37.78,36.28,37.65,36.801,10250200,
2024-07-29,37.78,38.59,37.37,38.47,37.6025,13529800,
2024-07-30,38.51,38.67,37.9,38.24,37.3777,9968900,
2024-07-31,38.67,39.05,38.51,38.72,37.8468,7336200,
2024-08-01,38.42,38.58,37.42,37.65,36.801,8541200,
2024-08-02,37.53,37.67,35.37,35.74,34.934,8698300,
2024-08-05,35.05,35.6,34.25,34.51,33.7318,8537300,
2024-08-06,34.18,34.75,33.9,34.21,33.6433,7351300,
2024-08-07,34.92,35.49,34.12,34.24,33.6728,7056000,
2024-08-08,34.22,35.32,34.2,35.2,34.6169,5944600,
2024-08-09,35.0,35.25,34.87,35.07,34.489,6919200,
2024-08-12,35.35,35.72,35.12,35.15,34.5677,3971700,
2024-08-13,34.92,35.04,34.5,34.82,34.2432,4209800,
2024-08-14,34.91,35.13,34.62,34.75,34.1743,4057900,
2024-08-15,34.98,35.36,34.78,35.08,34.4989,6022800,
2024-08-16,35.02,35.14,34.64,34.94,34.3612,4875000,
2024-08-19,34.99,35.49,34.84,35.16,34.5775,4639800,
2024-08-20,35.07,35.18,34.19,34.21,33.6433,5306700,
2024-08-21,34.58,34.68,34.26,34.45,33.8793,5082800,
