date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,117.83,119.23,117.73,118.96,115.5742,3830700,
2024-05-29,117.6,117.66,113.81,115.25,111.9697,14290900,
2024-05-30,115.7,116.38,112.93,113.58,110.3473,9917100,
2024-05-31,113.86,116.54,113.77,116.48,113.1647,13830200,
2024-06-03,116.26,116.43,112.96,113.87,110.629,7129500,
2024-06-04,112.8,113.0,111.3,112.27,109.0746,7683600,
2024-06-05,112.06,112.45,111.3,112.23,109.0357,5119100,
2024-06-06,111.77,112.4,111.54,112.2,109.0066,5355200,
2024-06-07,111.97,112.79,111.15,112.0,108.8123,4375700,
2024-06-10,112.38,114.0,111.97,113.3,110.0753,5307300,
2024-06-11,113.19,113.65,112.65,113.63,110.3959,4181900,
2024-06-12,114.5,114.97,111.56,112.19,108.9968,8650100,
2024-06-13,112.0,112.17,110.09,110.89,107.7338,5939300,
2024-06-14,111.18,111.18,109.12,109.39,106.2765,5690400,
2024-06-17,108.9,109.9,108.48,109.54,106.4223,5754200,
2024-06-18,110.07,111.2,109.01,109.41,106.296,5690200,
2024-06-20,109.6,111.85,109.26,111.33,108.1613,5442400,
2024-06-21,111.83,112.26,110.73,111.34,108.171,27097200,
2024-06-24,112.25,115.99,111.91,115.17,111.892,8802700,
2024-06-25,114.71,115.06,113.66,114.99,111.7171,4961500,
2024-06-26,115.2,115.2,112.76,113.61,110.3764,5366500,
2024-06-27,114.0,114.33,113.11,113.97,110.7262,3846500,
2024-06-28,115.4,115.57,113.64,114.38,111.1245,7191800,
2024-07-01,115.04,115.46,113.65,114.36,111.1051,3925100,
2024-07-02,115.38,115.61,113.33,114.12,110.8719,3836700,
2024-07-03,114.05,115.66,113.7,114.77,111.5034,2326200,
2024-07-05,114.53,114.72,112.14,112.55,109.3466,4188300,
2024-07-08,111.97,112.64,111.32,112.23,109.0357,4199600,
2024-07-09,110.91,112.64,110.66,111.19,108.0253,3460400,
2024-07-10,110.79,112.63,110.48,112.53,109.3272,3867700,
2024-07-11,112.53,114.38,111.96,113.99,110.7456,5839100,
2024-07-12,114.4,114.6,112.85,113.14,109.9198,4505900,
2024-07-15,114.01,115.2,113.02,114.57,111.3091,5118100,
2024-07-16,113.72,115.42,113.15,115.19,111.9115,4633700,
2024-07-17,115.75,117.4,115.53,116.08,112.7761,6484000,
2024-07-18,116.3,118.4,115.35,116.61,113.291,5957100,
2024-07-19,117.16,117.32,114.23,114.35,111.0954,7559100,
2024-07-22,113.6,113.67,112.1,112.32,109.1231,5172800,
2024-07-23,111.85,112.05,110.07,110.83,107.6756,5714300,
2024-07-24,111.72,112.42,110.51,111.1,107.9379,4808000,
2024-07-25,111.0,112.04,110.45,111.03,107.8699,5492100,
2024-07-26,111.15,111.54,109.93,110.86,107.7047,5198800,
2024-07-29,111.24,111.29,108.38,109.12,106.0142,4629500,
2024-07-30,109.17,110.27,108.94,109.91,106.7817,9794200,
2024-07-31,111.61,112.4,111.1,111.2,108.035,7554600,
2024-08-01,112.45,112.68,107.92,108.39,105.305,9704600,
2024-08-02,107.72,108.08,103.98,105.77,102.7596,7445100,
2024-08-05,104.0,105.31,102.27,104.57,101.5937,8475000,
2024-08-06,104.57,106.45,104.11,105.8,102.7887,8424900,
2024-08-07,107.25,108.44,106.44,106.93,103.8866,7735400,
2024-08-08,107.24,108.64,106.92,108.27,105.1884,5392900,
2024-08-09,108.27,109.1,107.09,108.61,105.5187,5776200,
2024-08-12,108.45,110.23,108.28,110.03,107.4722,5906900,
2024-08-13,108.99,109.38,107.86,108.34,105.8215,5866800,
2024-08-14,108.51,109.84,108.23,109.33,106.7885,6388000,
2024-08-15,109.68,111.37,109.68,111.23,108.6443,6307000,
2024-08-16,110.32,111.38,109.86,111.18,108.5955,3819100,
2024-08-19,111.22,112.75,111.12,111.74,109.1425,4335600,
2024-08-20,111.57,111.81,108.85,109.85,107.2964,6783300,
2024-08-21,110.81,111.19,108.9,109.62,107.0718,4011900,
2024-08-22,109.6,110.52,109.41,109.97,107.4136,3644500,
2024-08-23,110.83,111.49,110.27,111.4,108.8104,4024200,
2024-08-26,113.02,115.03,112.94,113.56,110.9202,6253900,
2024-08-27,113.66,113.66,112.06,112.43,109.8165,3521700,
2024-08-28,112.04,112.2,110.64,112.15,109.543,4506400,
2024-08-29,112.98,115.14,112.07,114.37,111.7114,5270200,
2024-08-30,113.12,114.04,112.41,113.79,111.1448,5559500,
2024-09-03,111.9,111.91,109.21,109.85,107.2964,6369900,
2024-09-04,110.33,111.19,108.44,108.56,106.0364,6251500,
2024-09-05,109.22,109.39,107.29,107.45,104.9522,5582400,
2024-09-06,107.73,108.62,105.72,106.02,103.5555,5229900,
2024-09-09,106.05,106.67,105.54,105.6,103.1452,6477000,
2024-09-10,105.55,105.74,103.24,104.0,101.5824,5611500,
2024-09-11,103.8,104.04,101.3,102.57,100.1857,6803100,
2024-09-12,102.72,103.68,102.15,102.9,100.508,6775900,
2024-09-13,103.32,104.37,103.05,103.5,101.094,5441600,
2024-09-16,104.96,105.69,104.45,105.55,103.0964,9325300,
2024-09-17,105.51,108.5,105.3,108.29,105.7727,8661300,
2024-09-18,107.52,109.93,107.51,108.62,106.095,7424100,
2024-09-19,110.5,111.35,109.37,110.55,107.9802,7990700,
2024-09-20,111.16,111.74,109.73,109.87,107.316,33515100,
2024-09-23,110.1,110.94,107.49,109.69,107.1401,8197600,
2024-09-24,111.34,111.47,108.78,108.91,106.3783,7787400,
2024-09-25,108.5,108.82,105.69,105.73,103.2722,6561400,
2024-09-26,103.0,104.22,102.17,102.31,99.9317,9524000,
2024-09-27,102.63,104.84,102.6,104.72,102.2857,5489500,
2024-09-30,104.4,105.58,103.87,105.28,102.8327,6584000,
2024-10-01,104.54,109.68,104.1,109.37,106.8276,8067600,
2024-10-02,111.28,111.64,108.59,110.36,107.7946,7559900,
2024-10-03,110.7,112.51,109.99,112.42,109.8067,7397400,
2024-10-04,113.57,114.63,112.05,114.54,111.8774,7585100,
2024-10-07,114.94,116.08,114.44,114.72,112.0532,4899800,
2024-10-08,112.74,112.92,110.16,110.8,108.2243,5579800,
2024-10-09,109.91,111.52,109.55,110.97,108.3904,4217200,
2024-10-10,111.64,112.83,110.76,111.86,109.2597,3946400,
2024-10-11,110.75,111.7,110.27,110.49,107.9216,6820300,
2024-10-14,109.7,110.43,108.9,109.47,106.9253,5174000,
2024-10-15,106.0,107.13,105.12,105.21,102.7643,6395700,
2024-10-16,105.64,106.0,105.04,105.16,102.7155,4602900,
2024-10-17,105.32,106.24,104.94,106.15,103.6824,5093400,
2024-10-18,105.93,106.14,104.7,105.67,103.2136,4326600,
2024-10-21,106.65,106.84,104.69,104.99,102.5494,4387000,
2024-10-22,105.78,105.81,104.76,105.0,102.5592,4710800,
2024-10-23,104.59,105.06,103.66,104.51,102.0806,4541300,
2024-10-24,105.0,105.17,103.45,104.37,101.9438,3504600,
2024-10-25,105.06,105.43,104.25,104.56,102.1294,3823100,
2024-10-28,101.8,103.35,101.5,103.26,100.8596,4438900,
2024-10-29,102.96,103.76,102.16,102.32,99.9415,3809400,
2024-10-30,102.86,103.43,102.37,102.98,100.5861,6413100,
2024-10-31,106.97,110.65,106.0,109.54,106.9936,11969400,
2024-11-01,109.51,110.01,106.68,107.84,105.3332,7428000,
2024-11-04,109.0,110.07,108.72,108.86,106.3294,5441700,
2024-11-05,109.19,110.02,108.58,109.21,106.6713,6003100,
2024-11-06,112.0,114.87,111.39,113.63,110.9886,7733600,
2024-11-07,113.91,113.99,111.86,112.4,109.7872,5442000,
2024-11-08,111.1,112.0,110.56,111.59,109.7576,5314000,
2024-11-11,111.52,112.75,110.95,112.05,110.2101,3820200,
2024-11-12,112.46,112.83,110.47,110.64,108.8232,5175700,
2024-11-13,110.42,112.46,109.5,111.82,109.9839,5961600,
2024-11-14,112.59,113.02,111.35,112.92,111.0658,4389900,
2024-11-15,112.68,114.07,111.88,112.32,110.4757,4124000,
2024-11-18,113.39,114.46,112.75,113.76,111.892,5089000,
2024-11-19,112.62,114.14,112.25,113.09,111.233,5100000,
2024-11-20,112.9,113.99,112.64,113.43,111.5674,4092700,
2024-11-21,114.27,115.38,111.5,111.9,110.0626,12535500,
2024-11-22,112.17,112.73,111.13,111.75,109.915,7516200,
2024-11-25,111.9,111.96,105.54,106.1,104.3578,23447400,
2024-11-26,106.62,107.35,104.9,106.78,105.0266,12073700,
2024-11-27,107.36,108.99,107.11,107.39,105.6266,6237600,
2024-11-29,107.75,108.52,107.36,108.34,106.561,3918700,
2024-12-02,108.34,108.74,105.54,106.14,104.3971,5939700,
2024-12-03,107.03,107.67,105.71,106.05,104.3086,5862600,
2024-12-04,105.94,106.11,102.83,103.51,101.8103,7291000,
2024-12-05,105.08,105.87,104.01,104.44,102.7251,7074700,
2024-12-06,104.45,104.59,102.4,103.22,101.5251,5365600,
2024-12-09,104.22,105.05,102.88,103.16,101.4661,6526500,
2024-12-10,103.63,104.14,102.1,102.36,100.6792,5860800,
2024-12-11,102.36,102.72,101.69,102.19,100.512,8195500,
2024-12-12,102.38,102.62,100.87,100.91,99.253,5908600,
2024-12-13,101.05,102.26,100.58,101.02,99.3612,6887800,
2024-12-16,101.13,101.49,99.43,99.57,97.935,7441800,
2024-12-17,98.77,99.26,96.75,98.26,96.6465,8737800,
2024-12-18,98.0,98.51,95.75,95.85,94.2761,8466500,
2024-12-19,96.99,96.99,95.1,95.18,93.6171,9951200,
2024-12-20,94.76,96.38,94.23,95.12,93.5581,29542200,
2024-12-23,95.43,96.88,94.58,96.38,94.7974,7892300,
2024-12-24,96.5,97.19,95.85,97.11,95.5154,2677400,
2024-12-26,97.13,97.15,96.24,96.89,95.299,4325600,
2024-12-27,97.0,97.98,96.47,96.92,95.3285,5889700,
2024-12-30,97.25,97.6,96.14,97.09,95.4957,5238800,
2024-12-31,97.3,99.3,97.1,99.17,97.5416,5556400,
2025-01-02,100.0,101.28,99.52,100.08,98.4366,5080600,
2025-01-03,100.62,101.4,100.29,101.09,99.4301,5758200,
2025-01-06,101.55,102.15,99.64,99.99,98.3481,5935500,
2025-01-07,100.5,102.49,99.91,101.67,100.0005,5074700,
2025-01-08,101.0,102.45,100.75,101.62,99.9514,5119900,
2025-01-10,103.5,104.44,101.19,101.92,100.2464,7013200,
2025-01-13,102.02,105.1,102.02,104.23,102.5185,7342100,
2025-01-14,103.38,104.95,103.15,104.88,103.1578,4808100,
2025-01-15,105.02,105.87,104.44,105.48,103.748,4566900,
2025-01-16,105.19,106.17,105.09,105.61,103.8758,5273500,
2025-01-17,105.8,106.15,105.17,105.85,104.1119,8559300,
2025-01-21,105.0,105.73,104.04,104.28,102.5677,7144700,
2025-01-22,104.28,104.99,102.92,103.06,101.3677,4839100,
2025-01-23,104.11,105.48,103.63,103.99,102.2824,5734200,
2025-01-24,104.51,104.75,101.73,101.83,100.1579,5962100,
2025-01-27,102.46,103.71,101.4,102.69,101.0038,6831000,
2025-01-28,102.89,103.33,100.74,101.38,99.7153,4742100,
2025-01-29,101.15,101.9,100.35,101.56,99.8923,4130600,
2025-01-30,102.0,102.27,100.94,101.46,99.794,4046900,
2025-01-31,101.33,101.34,98.56,98.83,97.2072,6267100,
2025-02-03,98.75,98.94,97.04,98.48,96.8629,5948600,
2025-02-04,97.7,100.8,97.53,100.58,98.9284,5310900,
2025-02-05,100.53,100.88,99.4,100.21,98.5645,6961100,
2025-02-06,98.89,101.1,98.6,99.94,98.2989,8543400,
2025-02-07,100.06,100.45,98.27,98.36,96.7449,12121700,
2025-02-10,99.61,99.61,97.82,99.48,97.8465,10338500,
2025-02-11,99.53,102.61,99.2,101.71,100.0399,8063700,
2025-02-12,101.0,101.71,98.33,98.4,96.7842,7585800,
2025-02-13,97.82,98.01,96.41,96.9,95.3089,9329100,
2025-02-14,96.91,98.46,96.24,96.26,95.4477,7960800,
2025-02-18,96.24,97.63,95.29,97.45,96.6276,11777700,
