date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,27.27,27.7,27.22,27.56,26.6386,4471800,
2024-05-29,27.46,27.62,27.2,27.45,26.5323,8695400,
2024-05-30,27.55,28.02,27.51,27.76,26.832,6311800,
2024-05-31,27.86,28.52,27.83,28.52,27.5665,14170700,
2024-06-03,28.63,28.66,27.55,27.73,26.803,5703500,
2024-06-04,27.25,27.49,26.91,27.48,26.5613,6036800,
2024-06-05,27.6,27.67,27.32,27.56,26.6386,5640600,
2024-06-06,27.51,27.75,27.44,27.66,26.7353,4487500,
2024-06-07,27.68,27.77,27.4,27.58,26.658,4761000,
2024-06-10,27.66,28.34,27.59,28.12,27.1799,6295200,
2024-06-11,27.99,28.38,27.79,28.29,27.3442,4437200,
2024-06-12,28.55,28.57,27.78,27.85,26.9189,5289900,
2024-06-13,27.73,27.81,26.98,27.14,26.2327,4892100,
2024-06-14,27.18,27.18,26.64,26.73,25.8364,5899000,
2024-06-17,26.67,26.82,26.3,26.67,25.7784,6212200,
2024-06-18,26.72,26.99,26.54,26.68,25.7881,4903300,
2024-06-20,26.66,27.11,26.57,26.89,25.991,5199000,
2024-06-21,26.93,26.93,26.5,26.62,25.7301,26905400,
2024-06-24,26.98,27.85,26.86,27.65,26.7256,5396300,
2024-06-25,27.53,27.67,27.21,27.65,26.7256,5568200,
2024-06-26,27.51,27.57,27.02,27.15,26.2423,5782300,
2024-06-27,27.26,27.28,26.78,26.85,25.9524,4312900,
2024-06-28,27.04,27.1,26.49,26.67,25.7784,8900300,
2024-07-01,26.83,26.88,26.36,26.54,25.6527,4690800,
2024-07-02,26.76,26.88,26.49,26.78,25.8847,3801000,
2024-07-03,26.7,27.07,26.65,26.89,25.991,3366400,
2024-07-05,26.7,26.77,26.1,26.23,25.3531,7394900,
2024-07-08,26.45,26.64,26.36,26.57,25.6817,4491100,
2024-07-09,26.41,26.75,26.25,26.48,25.5947,4599500,
2024-07-10,26.67,26.75,26.41,26.63,25.7397,5179800,
2024-07-11,26.7,27.05,26.61,26.99,26.0877,3183700,
2024-07-12,27.08,27.18,26.95,27.1,26.194,3745400,
2024-07-15,27.19,27.47,27.08,27.25,26.339,4697500,
2024-07-16,27.16,27.37,27.02,27.37,26.455,5841000,
2024-07-17,27.37,27.7,27.0,27.01,26.107,6408100,
2024-07-18,27.1,27.54,27.05,27.11,26.2037,5308300,
2024-07-19,27.13,27.13,26.66,26.8,25.9041,4790900,
2024-07-22,26.75,26.84,26.45,26.72,25.8267,5209100,
2024-07-23,26.6,26.6,26.04,26.13,25.2564,6770400,
2024-07-24,26.32,26.44,25.78,25.79,24.9278,6239500,
2024-07-25,25.93,26.07,25.66,25.72,24.8602,5256000,
2024-07-26,25.76,25.89,25.48,25.78,24.9181,4015300,
2024-07-29,25.77,25.85,25.38,25.71,24.8505,4152000,
2024-07-30,25.74,25.94,25.55,25.7,24.8408,5195500,
2024-07-31,26.01,26.31,25.74,25.8,24.9375,5312700,
2024-08-01,25.96,26.04,25.22,25.4,24.5509,8986000,
2024-08-02,24.9,25.05,23.99,24.11,23.304,13521500,
2024-08-05,23.56,23.77,23.19,23.25,22.4727,8591300,
