date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,158.12,159.42,157.95,159.04,152.1306,6928300,
2024-05-29,158.02,158.49,156.44,156.9,150.0836,5909600,
2024-05-30,156.85,158.46,156.81,158.26,151.3845,6371200,
2024-05-31,158.63,162.58,158.51,162.3,155.249,10334200,
2024-06-03,161.49,161.68,156.46,157.46,150.6192,9009900,
2024-06-04,155.72,156.35,154.11,156.13,149.347,6360500,
2024-06-05,156.16,157.02,154.53,154.98,148.247,7058500,
2024-06-06,154.5,156.02,153.39,155.93,149.1557,5215100,
2024-06-07,155.71,157.69,155.13,156.08,149.2992,5887700,
2024-06-10,156.41,158.2,156.32,156.74,149.9305,7075900,
2024-06-11,156.17,156.75,154.48,156.49,149.6914,5132000,
2024-06-12,157.49,157.63,152.4,154.22,147.52,10017400,
2024-06-13,153.77,154.09,152.23,152.84,146.2,6163000,
2024-06-14,153.13,153.29,151.97,152.57,145.9417,6159100,
2024-06-17,152.5,153.93,151.93,153.19,146.5347,6321400,
2024-06-18,153.55,155.95,152.84,153.33,146.6687,6942900,
2024-06-20,153.71,157.41,153.25,156.64,149.8349,8336000,
2024-06-21,156.8,157.67,155.22,155.28,148.534,21292100,
2024-06-24,156.27,159.54,156.19,159.31,152.3889,7971600,
2024-06-25,159.12,159.36,157.67,158.46,151.5758,6056700,
2024-06-26,158.46,158.46,155.79,155.95,149.1748,8637800,
2024-06-27,156.7,156.94,155.64,156.32,149.5288,5568700,
2024-06-28,157.52,158.58,156.17,156.42,149.6244,11283400,
2024-07-01,157.16,158.7,155.98,156.52,149.7201,5584100,
2024-07-02,157.68,157.72,155.45,156.75,149.9401,7216800,
2024-07-03,156.94,157.74,156.56,156.71,149.9018,3264200,
2024-07-05,156.55,156.55,153.68,154.31,147.6061,6183100,
2024-07-08,153.32,155.28,153.32,154.33,147.6252,4990700,
2024-07-09,153.0,154.76,152.35,152.98,146.3339,5301600,
2024-07-10,152.5,155.44,152.3,155.13,148.3905,5416600,
2024-07-11,155.0,156.68,154.22,155.26,148.5148,8322500,
2024-07-12,156.16,156.44,154.56,155.59,148.8305,6446300,
2024-07-15,156.95,159.52,156.37,158.04,151.174,5661200,
2024-07-16,157.01,158.31,156.15,157.77,150.9158,6924200,
2024-07-17,158.5,161.48,158.29,161.23,154.2255,7296600,
2024-07-18,161.23,164.28,160.24,161.97,154.9333,6577700,
2024-07-19,162.48,162.7,158.41,159.15,152.2358,6427700,
2024-07-22,158.22,158.98,156.85,156.99,150.1697,5577300,
2024-07-23,156.35,156.6,153.84,154.09,147.3956,6238700,
2024-07-24,154.69,155.7,153.42,155.07,148.3331,5971700,
2024-07-25,155.37,158.26,154.62,157.54,150.6958,5432100,
2024-07-26,157.73,159.04,157.06,157.84,150.9827,5232500,
2024-07-29,158.25,158.25,154.86,156.6,149.7966,5072000,
2024-07-30,156.46,160.09,156.44,159.57,152.6376,5740900,
2024-07-31,161.69,161.69,160.05,160.47,153.4985,6209200,
2024-08-01,158.71,159.5,152.03,152.62,145.9895,16689900,
2024-08-02,151.13,152.04,147.02,148.55,142.0963,13278600,
2024-08-05,145.52,145.77,143.41,144.66,138.3753,13037200,
2024-08-06,144.49,145.09,143.12,143.23,137.0075,9692700,
2024-08-07,144.58,145.73,142.28,142.41,136.2231,8867900,
2024-08-08,143.07,144.82,142.71,144.49,138.2127,7531100,
2024-08-09,144.21,146.11,143.19,144.99,138.691,7653100,
2024-08-12,145.84,146.74,139.69,145.02,138.7197,8442200,
2024-08-13,144.08,144.55,143.05,144.15,137.8875,7794800,
2024-08-14,144.39,145.24,143.43,144.67,138.3849,5874200,
2024-08-15,145.59,147.52,145.48,146.8,140.4224,6304200,
2024-08-16,146.05,147.62,145.64,147.27,140.8719,6874400,
2024-08-19,146.01,147.73,145.89,146.83,142.023,5967400,
2024-08-20,146.33,146.51,144.56,144.69,139.953,7497600,
2024-08-21,145.43,146.64,144.55,145.32,140.5624,5985000,
2024-08-22,145.35,146.33,145.13,145.73,140.959,4027000,
2024-08-23,146.53,148.09,146.32,147.62,142.7871,4824100,
2024-08-26,148.97,150.09,147.55,148.5,143.6383,5780300,
2024-08-27,148.67,149.55,146.74,146.95,142.1391,5100000,
2024-08-28,146.44,147.14,145.48,146.0,141.2202,5614400,
2024-08-29,146.46,148.18,145.44,147.42,142.5937,4466700,
2024-08-30,146.22,148.08,145.7,147.95,143.1063,6414800,
2024-09-03,145.55,145.77,144.28,144.66,139.924,7944700,
2024-09-04,144.64,145.53,141.67,142.07,137.4188,9820700,
2024-09-05,143.17,143.17,140.6,140.93,136.3161,9371100,
2024-09-06,141.07,142.11,137.87,138.56,134.0237,7836400,
2024-09-09,138.64,142.02,138.54,140.3,135.7068,9892300,
2024-09-10,140.9,141.08,137.09,138.23,133.7045,8202500,
2024-09-11,138.21,138.48,135.37,137.88,133.366,9534000,
2024-09-12,138.23,139.47,137.42,139.21,134.6524,6593400,
2024-09-13,139.87,141.53,139.71,140.61,136.0066,5900700,
2024-09-16,141.69,143.17,141.07,142.09,137.4382,6864300,
2024-09-17,141.8,144.14,141.74,143.41,138.7149,7338800,
2024-09-18,143.32,145.6,143.19,143.96,139.2469,6180300,
2024-09-19,145.81,146.78,144.93,144.99,140.2432,7247400,
2024-09-20,145.23,145.91,143.44,145.68,140.9106,23162900,
2024-09-23,146.25,148.42,145.95,147.54,142.7097,6960600,
2024-09-24,148.88,149.1,146.91,147.45,142.6227,6014200,
2024-09-25,146.95,147.41,143.5,143.97,139.2566,7888400,
2024-09-26,140.9,143.22,140.63,141.99,137.3414,8046200,
2024-09-27,142.98,145.77,142.84,145.49,140.7269,8049200,
2024-09-30,145.37,147.48,144.28,147.27,142.4486,7491700,
2024-10-01,146.35,150.52,145.45,149.7,144.799,9489100,
2024-10-02,151.68,152.28,149.26,150.95,146.0081,8105400,
2024-10-03,151.31,152.17,150.02,151.25,146.2983,6553300,
2024-10-04,152.48,152.5,150.14,150.74,145.805,7892400,
2024-10-07,151.5,152.75,150.69,151.12,146.1725,5895900,
2024-10-08,149.2,149.6,147.73,148.75,143.8801,5892700,
2024-10-09,147.51,150.37,147.36,149.65,144.7507,4973500,
2024-10-10,150.68,151.55,149.85,150.62,145.6889,4420900,
2024-10-11,150.38,152.33,150.25,151.42,146.4627,5051300,
2024-10-14,150.52,151.9,150.18,151.78,146.8109,4214700,
2024-10-15,148.8,149.96,147.56,147.73,142.8935,6704600,
2024-10-16,148.35,149.03,148.21,148.73,143.8608,4303700,
2024-10-17,149.26,151.33,148.97,151.2,146.2499,6593100,
2024-10-18,150.82,151.08,149.38,150.75,145.8146,5208200,
2024-10-21,152.0,152.48,150.49,150.88,145.9404,5074000,
2024-10-22,151.25,151.68,150.22,150.92,145.9791,4416400,
2024-10-23,150.36,151.0,149.29,150.48,145.5535,5248600,
2024-10-24,151.13,151.45,149.38,150.45,145.5245,5474300,
2024-10-25,151.39,152.12,150.46,150.81,145.8727,6839900,
2024-10-28,148.25,150.7,148.16,150.54,145.6115,8892000,
2024-10-29,150.04,150.42,147.87,148.52,143.6577,6014700,
2024-10-30,149.08,149.65,147.66,148.05,143.203,5784000,
2024-10-31,148.76,149.57,147.89,148.82,143.9478,8400900,
2024-11-01,152.48,155.93,151.7,153.07,148.0587,11728000,
2024-11-04,154.42,154.42,152.62,153.97,148.9292,6130000,
2024-11-05,154.53,154.67,152.55,153.41,148.3876,5978900,
2024-11-06,157.1,158.61,156.12,157.72,152.5565,12118900,
2024-11-07,157.94,158.01,156.4,156.77,151.6376,8143200,
2024-11-08,156.6,157.58,155.67,156.93,151.7923,6041500,
2024-11-11,157.14,157.94,155.9,156.5,151.3764,7771700,
2024-11-12,157.3,157.47,155.12,155.29,150.206,5681900,
2024-11-13,156.07,159.02,154.53,158.72,153.5237,8824000,
2024-11-14,159.84,161.83,159.68,161.8,156.5029,10111200,
2024-11-15,161.52,162.38,160.76,161.42,156.1353,9022800,
2024-11-18,160.56,161.52,159.07,160.76,157.0831,6092100,
2024-11-19,159.98,160.43,158.75,159.6,155.9497,4657400,
2024-11-20,159.91,161.44,159.78,161.33,157.6401,6391300,
2024-11-21,162.02,162.65,161.29,161.63,157.9332,7945200,
2024-11-22,161.51,162.61,161.15,162.36,158.6465,7005900,
2024-11-25,162.15,163.17,159.83,160.36,156.6923,10702400,
2024-11-26,162.31,162.94,161.4,162.53,158.8127,7369500,
2024-11-27,162.76,164.68,161.61,162.11,158.4023,7674500,
2024-11-29,162.25,162.75,160.66,161.93,158.2264,5077000,
2024-12-02,162.29,162.95,160.11,162.21,158.5,6229600,
2024-12-03,162.98,163.2,161.39,161.92,158.2166,5900100,
2024-12-04,161.83,161.84,157.86,158.32,154.6989,7862700,
2024-12-05,159.29,160.67,158.69,159.33,155.6858,6358400,
2024-12-06,158.75,158.83,155.17,155.24,151.6894,9701700,
2024-12-09,157.0,160.08,156.82,157.08,153.4873,9404500,
2024-12-10,159.06,159.52,156.7,157.0,153.4091,9126200,
2024-12-11,156.86,157.17,155.8,156.21,152.6372,13764700,
2024-12-12,155.87,156.53,154.27,154.71,151.1715,7621500,
2024-12-13,154.87,154.96,153.07,153.87,150.3507,5816200,
2024-12-16,153.89,153.89,149.25,149.36,145.9439,11961200,
2024-12-17,148.0,148.65,146.91,148.11,144.7225,11909300,
