date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,48.37,48.97,48.35,48.91,47.354,5336373,
2024-05-29,48.66,48.72,46.555,47.19,45.6887,10321610,
2024-05-30,47.19,47.69,47.19,47.59,46.076,6068959,
2024-05-31,47.74,49.08,47.65,49.08,47.5186,15249160,
2024-06-03,48.79,48.84,46.925,47.08,45.5822,8211748,
2024-06-04,46.55,46.71,45.9,46.65,45.1659,7669669,
2024-06-05,46.76,46.878,46.325,46.62,45.1368,5293737,
2024-06-06,46.54,46.89,46.32,46.76,45.2724,4095059,
2024-06-07,46.45,47.17,46.2492,46.79,45.3014,6467602,
2024-06-10,46.85,47.4599,46.53,47.12,45.6209,6608288,
2024-06-11,46.84,47.325,46.47,47.29,45.7855,4211114,
2024-06-12,47.79,47.85,46.56,46.85,45.3595,5105167,
2024-06-13,46.62,46.7,45.67,45.76,44.3042,7572715,
2024-06-14,45.75,45.75,45.0038,45.56,44.4505,6809776,
2024-06-17,45.5,45.8099,45.15,45.76,44.6457,5577920,
2024-06-18,45.84,46.47,45.59,45.65,44.5383,5011678,
2024-06-20,45.64,46.285,45.4101,45.99,44.8701,5368217,
2024-06-21,46.27,46.29,45.6,45.82,44.7042,12610900,
2024-06-24,46.06,47.985,46.01,47.64,46.4799,8375891,
2024-06-25,47.56,47.57,47.005,47.37,46.2165,6857549,
2024-06-26,47.36,47.41,46.3802,46.72,45.5823,5120920,
2024-06-27,47.13,47.21,46.735,47.01,45.8652,3620068,
2024-06-28,47.5,47.62,46.935,47.4,46.2457,7931385,
2024-07-01,47.7,48.025,47.13,47.73,46.5677,4481223,
2024-07-02,48.15,48.41,47.545,47.77,46.6067,4783027,
2024-07-03,47.98,48.44,47.815,48.11,46.9384,3338420,
2024-07-05,47.97,48.095,46.805,47.03,45.8847,6394651,
2024-07-08,46.59,46.79,45.515,46.52,45.3872,11872580,
2024-07-09,46.095,46.91,45.88,46.06,44.9384,6202797,
2024-07-10,46.1,46.16,45.645,45.91,44.792,5700674,
2024-07-11,45.95,46.54,45.49,46.42,45.2896,6879842,
2024-07-12,46.785,46.88,46.22,46.48,45.3481,4954277,
2024-07-15,46.95,48.6699,46.68,48.05,46.8799,8391683,
2024-07-16,47.69,48.55,47.47,48.24,47.0653,6136817,
2024-07-17,48.43,49.345,48.43,48.65,47.4653,7723893,
