date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,123.9,126.1,123.66,125.85,122.0922,3800000,
2024-05-29,125.97,126.0,121.18,121.92,118.2795,5506300,
2024-05-30,121.92,123.24,121.38,122.25,118.5997,3005400,
2024-05-31,122.54,124.74,122.54,124.55,120.831,4082400,
2024-06-03,124.2,124.4,118.4,119.64,116.0676,3239500,
2024-06-04,118.45,120.04,117.4,119.8,116.2228,4499200,
2024-06-05,119.88,120.35,119.0,120.31,116.7176,3406600,
2024-06-06,120.3,121.29,119.6,121.21,117.5907,3399700,
2024-06-07,121.0,122.09,120.05,120.19,116.6012,2494300,
2024-06-10,120.6,122.27,119.75,121.59,117.9594,1717500,
2024-06-11,120.69,122.05,119.79,122.03,118.3862,2063500,
2024-06-12,123.1,123.23,120.15,120.93,117.3191,2129600,
2024-06-13,120.51,120.83,118.13,119.1,115.5437,2253800,
2024-06-14,119.71,119.71,117.17,118.24,114.7094,2850300,
2024-06-17,118.24,119.59,117.24,119.08,115.5243,2388700,
2024-06-18,119.78,121.15,118.77,119.5,115.9318,2032400,
2024-06-20,119.76,122.08,119.26,121.99,118.3474,2469000,
2024-06-21,122.84,122.96,121.26,122.05,118.4056,7884600,
2024-06-24,122.62,125.93,122.5,125.3,121.5586,2784300,
2024-06-25,124.94,125.68,123.92,125.55,121.8011,1965300,
2024-06-26,126.02,126.15,123.87,124.58,120.8601,2297400,
2024-06-27,125.5,125.5,123.67,124.55,120.831,1726700,
2024-06-28,125.59,126.07,124.8,125.87,122.1116,4029400,
2024-07-01,127.7,127.89,125.47,126.54,122.7616,2496100,
2024-07-02,127.8,128.85,126.08,126.65,122.8683,2274700,
2024-07-03,126.5,127.39,126.15,126.77,122.9847,1814100,
2024-07-05,126.55,127.09,124.45,124.94,121.2093,3354600,
2024-07-08,124.04,125.66,123.91,125.63,121.8787,2632000,
2024-07-09,123.88,126.93,123.82,125.67,121.9175,2859700,
2024-07-10,125.64,126.34,124.94,126.22,122.4511,1835300,
2024-07-11,125.98,128.53,125.6,128.17,124.3429,2402800,
2024-07-12,129.35,129.47,127.75,128.95,125.0996,2032100,
2024-07-15,130.25,134.32,129.65,132.65,128.6891,3532200,
2024-07-16,132.34,133.07,131.2,131.52,127.5929,2925300,
2024-07-17,130.72,133.11,130.71,132.38,129.322,2413500,
2024-07-18,131.73,134.74,131.39,132.23,129.1754,2155600,
2024-07-19,132.4,132.43,128.6,129.25,126.2643,3215700,
2024-07-22,128.63,128.94,126.84,126.92,123.9881,2088100,
2024-07-23,125.89,126.18,124.12,124.9,122.0148,3676600,
2024-07-24,125.91,126.64,124.64,125.1,122.2101,2209700,
2024-07-25,125.46,128.06,125.3,127.04,124.1053,2258400,
