date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,195.24,198.165,195.2,197.76,191.7436,1304103,
2024-05-29,197.57,197.79,193.265,195.02,189.0869,1527899,
2024-05-30,194.54,197.89,194.54,197.34,191.3364,1289982,
2024-05-31,197.53,199.455,196.96,199.26,193.198,2933959,
2024-06-03,198.45,198.825,186.48,190.71,184.9081,2775070,
2024-06-04,188.73,189.29,185.095,189.22,183.4634,1744918,
2024-06-05,189.22,190.01,188.485,189.19,183.4343,825723,
2024-06-06,188.88,191.55,188.8,191.04,185.228,1181438,
2024-06-07,191.04,191.6,189.78,190.3,184.5105,1027834,
2024-06-10,190.76,194.995,190.615,193.97,188.0689,961244,
2024-06-11,192.61,193.73,191.24,193.67,187.778,716270,
2024-06-12,195.26,196.0,192.35,193.65,187.7586,1056784,
2024-06-13,192.5,192.87,188.27,190.35,184.559,1268772,
2024-06-14,189.9,189.995,185.69,185.97,180.3123,978301,
2024-06-17,186.56,188.13,185.1,187.56,181.8539,1235250,
2024-06-18,188.79,189.86,188.21,188.87,183.124,1124380,
2024-06-20,189.51,193.6,189.51,192.73,186.8666,1959950,
2024-06-21,193.57,193.7014,190.3336,190.88,185.0729,3343005,
2024-06-24,192.12,199.145,191.85,198.03,192.0054,1809745,
2024-06-25,197.89,198.63,196.33,197.88,191.8599,1445370,
2024-06-26,198.16,198.16,195.01,196.96,190.9679,1258017,
2024-06-27,198.25,199.39,196.65,199.19,193.1301,1036490,
2024-06-28,200.535,202.8699,199.07,200.19,194.0997,2105955,
2024-07-01,201.82,204.39,199.7775,203.71,197.5126,1230329,
2024-07-02,205.49,208.62,203.8,204.9,198.6664,1763280,
2024-07-03,206.08,208.77,204.3301,206.93,200.6346,741138,
2024-07-05,206.45,207.48,202.31,203.53,197.338,761400,
2024-07-08,202.37,203.55,201.04,203.35,197.1635,774944,
2024-07-09,200.95,204.62,199.62,202.6,196.4363,993681,
2024-07-10,202.07,202.65,200.75,202.39,196.2327,970917,
2024-07-11,202.51,208.3,201.575,207.17,200.8673,1249130,
2024-07-12,207.37,208.65,203.43,204.17,197.9586,1128402,
2024-07-15,205.0,212.1,204.36,210.93,204.5129,1410924,
2024-07-16,209.85,210.61,208.18,209.06,202.6998,1077656,
2024-07-17,210.58,214.5,209.35,210.94,204.5226,1485246,
2024-07-18,211.07,212.275,206.64,210.03,203.6403,893862,
2024-07-19,208.99,209.57,205.34,205.47,199.219,1348138,
2024-07-22,205.37,205.74,202.08,204.68,198.4531,930458,
2024-07-23,204.34,204.5,198.29,198.36,192.3253,1390287,
2024-07-24,199.83,201.93,198.31,198.83,192.781,1178883,
2024-07-25,198.4,202.19,197.52,199.8,193.7215,1067805,
2024-07-26,199.52,201.32,197.73,200.76,194.6523,775693,
2024-07-29,201.6,202.28,196.49,198.27,192.2381,853158,
2024-07-30,198.5,200.44,197.3017,198.08,192.0539,1525135,
2024-07-31,203.02,203.98,198.98,202.31,196.1552,1245758,
2024-08-01,201.34,203.76,195.86,198.22,192.1896,1524961,
2024-08-02,195.0,195.57,185.98,189.06,183.3083,1999255,
2024-08-05,184.13,186.88,179.61,185.18,179.5463,2421897,
2024-08-06,192.38,194.835,187.0,189.7,183.9288,1953133,
2024-08-07,193.61,196.66,191.11,191.38,185.5577,1455032,
2024-08-08,191.0,199.16,191.0,197.49,191.4818,1319677,
2024-08-09,197.09,201.71,195.56,199.77,193.6924,1289255,
2024-08-12,200.69,202.87,199.57,201.29,195.1662,1114677,
2024-08-13,198.77,199.24,195.57,196.14,190.1729,1783165,
2024-08-14,196.15,196.93,195.16,196.45,190.4734,1066714,
2024-08-15,194.79,197.82,194.48,196.58,192.8972,1220248,
2024-08-16,193.89,196.2,193.49,194.82,191.1701,1163869,
2024-08-19,195.68,198.51,195.25,195.84,192.171,1189694,
2024-08-20,195.69,195.69,189.56,189.75,186.1951,1114638,
2024-08-21,191.94,192.98,189.86,191.12,187.5395,1105547,
2024-08-22,191.5,193.44,190.79,191.73,188.138,893455,
2024-08-23,193.08,195.91,192.925,195.22,191.5626,755483,
