date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,36.39,37.07,36.22,36.52,35.6832,4840200,
2024-05-29,36.24,36.46,35.78,35.81,34.9894,6275500,
2024-05-30,35.7,36.15,35.68,35.96,35.136,4294800,
2024-05-31,35.9,36.79,35.85,36.7,35.859,9384200,
2024-06-03,36.7,36.71,34.46,34.74,33.9439,7969000,
2024-06-04,34.34,34.44,33.65,33.87,33.0939,8608900,
2024-06-05,33.81,33.96,33.26,33.48,32.8778,7989900,
2024-06-06,33.41,33.9,33.21,33.82,33.2117,9083200,
2024-06-07,33.65,34.36,33.46,34.08,33.467,7534800,
2024-06-10,34.18,34.81,33.77,34.51,33.8893,6262400,
2024-06-11,34.15,34.51,33.87,34.48,33.8599,4872400,
2024-06-12,34.82,35.04,34.38,34.56,33.9384,6997400,
2024-06-13,34.28,34.48,33.31,33.77,33.1626,5759600,
2024-06-14,33.65,33.65,32.6,32.92,32.3279,7004200,
2024-06-17,32.93,33.59,32.8,33.41,32.8091,8363800,
2024-06-18,33.62,33.92,32.88,32.94,32.3475,11520200,
2024-06-20,33.13,33.53,32.85,33.33,32.7305,12583700,
2024-06-21,33.47,33.84,33.05,33.64,33.035,43586100,
2024-06-24,33.84,34.62,33.72,34.34,33.7224,10900000,
2024-06-25,34.17,34.72,34.09,34.62,33.9973,6840200,
2024-06-26,34.48,34.57,33.89,34.03,33.4179,7334400,
2024-06-27,34.07,34.2,33.49,33.61,33.0055,9507000,
2024-06-28,33.9,34.13,33.69,33.78,33.1724,19130600,
2024-07-01,33.96,34.01,33.29,33.43,32.8287,6184400,
2024-07-02,33.65,33.94,33.38,33.62,33.0153,7591800,
2024-07-03,33.81,34.12,33.61,33.78,33.1724,3917100,
2024-07-05,33.7,33.82,32.87,33.1,32.5047,6890400,
2024-07-08,33.0,33.32,32.92,33.21,32.6127,4909100,
2024-07-09,32.93,33.31,32.63,32.83,32.2395,6681300,
2024-07-10,32.73,33.22,32.6,33.02,32.4261,5927600,
2024-07-11,33.0,33.75,32.84,33.62,33.0153,8381100,
2024-07-12,33.99,33.99,33.55,33.94,33.3296,6790800,
2024-07-15,34.35,35.69,33.98,35.23,34.5964,11872900,
2024-07-16,35.14,36.28,34.61,35.96,35.3132,12012500,
2024-07-17,36.17,36.74,36.08,36.36,35.706,9098200,
2024-07-18,36.36,37.08,36.3,36.44,35.7846,11484300,
2024-07-19,34.25,35.23,33.7,34.4,33.7813,18696900,
2024-07-22,33.83,34.18,33.37,33.39,32.7895,13880800,
2024-07-23,33.38,33.59,33.02,33.49,32.8877,10264500,
2024-07-24,33.6,33.66,32.89,32.99,32.3967,10136200,
2024-07-25,32.98,34.42,32.73,34.16,33.5456,10808400,
2024-07-26,34.31,34.53,33.79,34.4,33.7813,6737800,
2024-07-29,34.31,34.45,33.71,33.88,33.2706,4742300,
2024-07-30,33.77,34.48,33.77,34.3,33.6831,7215400,
2024-07-31,34.62,34.97,34.53,34.68,34.0563,8096800,
2024-08-01,34.45,34.62,33.06,33.24,32.6422,8402800,
2024-08-02,32.75,32.81,31.42,31.82,31.2477,11237000,
2024-08-05,31.0,31.09,30.31,30.88,30.3246,9560200,
2024-08-06,30.87,31.33,30.69,30.93,30.3737,7760500,
2024-08-07,31.43,31.47,30.67,30.74,30.1871,8365200,
2024-08-08,30.8,31.28,30.76,31.23,30.6683,6142400,
2024-08-09,31.21,31.4,30.99,31.0,30.4424,4846600,
2024-08-12,31.24,31.69,31.18,31.38,30.8156,5072700,
2024-08-13,31.07,31.27,30.86,31.09,30.5308,6076200,
2024-08-14,31.25,31.34,30.83,30.87,30.3148,8870900,
2024-08-15,31.29,31.71,31.16,31.28,30.7174,10671800,
2024-08-16,31.0,31.47,30.91,31.38,30.8156,6481400,
2024-08-19,31.45,32.18,31.45,31.85,31.2772,6224100,
2024-08-20,31.68,31.76,31.05,31.08,30.521,6250100,
2024-08-21,31.43,31.59,30.95,31.21,30.6487,6201800,
2024-08-22,31.28,31.32,31.03,31.15,30.5897,4860200,
2024-08-23,31.43,31.95,31.36,31.76,31.1888,5391700,
2024-08-26,32.31,32.45,31.67,31.87,31.2968,4848700,
2024-08-27,31.84,31.94,31.27,31.62,31.0513,5710500,
