date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,99.56,100.11,97.82,98.68,96.6789,4360900,
2024-05-29,97.8,97.9,96.76,97.56,95.5816,4826600,
2024-05-30,97.69,98.23,96.89,98.2,96.2086,4520300,
2024-05-31,98.06,100.25,97.42,100.14,98.1093,21754400,
2024-06-03,100.37,100.79,98.97,99.76,97.737,4508100,
2024-06-04,99.0,99.4,97.68,98.61,96.6103,4988100,
2024-06-05,98.82,99.65,97.87,99.06,97.0512,3115400,
2024-06-06,98.8,99.55,98.16,98.22,96.2282,2510000,
2024-06-07,99.51,101.96,98.4,100.86,98.8147,5636700,
2024-06-10,100.43,101.84,100.28,100.66,98.6188,3507600,
2024-06-11,100.1,101.47,99.23,101.32,99.2654,2831500,
2024-06-12,102.62,103.68,100.76,101.21,99.1576,3704600,
2024-06-13,102.02,102.8,100.74,101.54,99.4809,5034700,
2024-06-14,100.5,101.42,99.31,100.9,98.8539,2685000,
2024-06-17,99.98,101.44,99.92,100.53,98.4914,3490000,
2024-06-18,100.07,101.47,100.06,100.77,98.7265,3446200,
2024-06-20,100.26,102.34,100.19,101.66,99.5985,3476600,
2024-06-21,101.93,102.44,100.95,102.39,100.3137,7866200,
2024-06-24,102.18,103.5,101.68,102.99,100.9015,2948000,
2024-06-25,102.88,103.18,101.29,102.05,99.9806,5164200,
2024-06-26,101.62,101.8,100.57,101.45,99.3927,2356100,
2024-06-27,101.96,104.04,101.64,103.17,101.0779,4338300,
2024-06-28,103.01,103.97,101.66,102.19,100.1177,6196500,
2024-07-01,102.86,103.45,100.21,100.61,98.5698,2705600,
2024-07-02,100.56,101.93,100.46,101.62,99.5593,2291300,
2024-07-03,101.29,102.15,100.68,101.62,99.5593,1230800,
2024-07-05,101.4,101.66,100.64,101.32,99.2654,3059600,
2024-07-08,101.51,102.74,100.62,101.1,99.0498,2338700,
2024-07-09,100.85,101.46,99.47,99.69,97.6684,2809300,
2024-07-10,99.81,101.83,98.26,101.67,99.6083,4519500,
2024-07-11,102.38,104.27,101.8,103.23,101.1366,4581100,
2024-07-12,103.79,105.3,103.69,104.04,101.9302,3381000,
2024-07-15,104.9,105.0,102.57,102.72,100.637,3316600,
2024-07-16,100.87,103.69,100.87,103.31,101.215,3609000,
2024-07-17,102.86,104.8,102.69,104.64,102.5181,3567900,
2024-07-18,104.22,105.52,103.44,104.02,101.9106,3023800,
2024-07-19,104.75,104.75,103.13,103.92,101.8127,2884900,
2024-07-22,104.06,105.04,102.4,104.97,102.8414,2686600,
2024-07-23,105.0,105.27,104.17,104.73,102.6062,2172600,
2024-07-24,104.56,105.1,103.08,103.25,101.1562,3252000,
2024-07-25,102.72,104.79,101.77,103.39,101.2934,4598100,
2024-07-26,112.69,128.03,112.69,127.16,124.5814,32748900,
2024-07-29,128.0,128.65,124.13,125.16,122.6219,10816700,
2024-07-30,125.85,127.69,124.11,126.75,124.1797,6746500,
2024-07-31,126.63,128.6,125.33,127.55,124.9635,6889900,
2024-08-01,127.5,127.94,124.43,126.47,123.9054,5563700,
2024-08-02,125.81,127.75,124.78,125.24,122.7003,4021400,
2024-08-05,119.57,125.32,119.31,124.61,122.0831,6669700,
2024-08-06,123.36,126.13,122.72,124.89,122.3574,4334300,
2024-08-07,125.39,126.57,122.69,122.83,120.3392,3410100,
2024-08-08,122.45,125.74,122.18,125.13,122.5925,2932900,
2024-08-09,124.64,124.64,123.34,124.17,121.652,3247700,
2024-08-12,124.0,124.09,122.54,123.36,120.8584,2585800,
2024-08-13,123.43,125.4,122.74,125.35,122.8081,3056600,
2024-08-14,124.97,127.04,124.63,126.17,123.6115,3252800,
2024-08-15,127.32,127.94,126.17,127.16,124.5814,3359900,
2024-08-16,126.74,127.34,126.02,127.05,124.4736,3812600,
2024-08-19,127.08,127.85,126.53,127.08,124.503,2243600,
2024-08-20,126.99,128.07,126.88,127.7,125.1104,2792900,
2024-08-21,127.84,129.99,127.66,129.23,126.6094,3664600,
2024-08-22,129.1,129.75,128.3,128.6,125.9922,2300400,
2024-08-23,129.23,130.65,128.85,130.55,127.9026,2618800,
2024-08-26,129.6,131.92,129.6,131.85,129.8726,3915800,
2024-08-27,131.32,132.62,130.95,131.4,129.4294,2878500,
2024-08-28,131.4,132.62,131.15,131.61,129.6362,3274000,
2024-08-29,131.65,133.18,131.34,132.91,130.9167,2992600,
2024-08-30,133.07,134.99,132.61,134.69,132.6701,6092800,
2024-09-03,133.01,133.78,130.21,130.85,128.8876,4024100,
2024-09-04,131.19,132.86,130.85,132.15,130.1681,3300700,
2024-09-05,131.92,132.95,130.7,131.4,129.4294,2726000,
2024-09-06,130.5,132.1,128.02,128.6,126.6714,3562200,
2024-09-09,129.39,130.98,128.19,128.46,126.5335,3616300,
2024-09-10,128.85,130.16,128.46,130.09,128.139,2732500,
2024-09-11,129.5,130.38,127.12,130.23,128.2769,3283800,
2024-09-12,130.3,132.72,130.1,132.03,130.0499,3978800,
2024-09-13,131.88,133.37,131.35,133.18,131.1827,2670100,
2024-09-16,133.98,135.28,133.83,134.61,132.5913,3069300,
2024-09-17,134.09,134.43,132.31,133.57,131.5668,3969000,
2024-09-18,133.26,134.28,131.76,133.36,131.36,2960900,
2024-09-19,134.4,135.32,133.32,133.84,131.8328,2691500,
2024-09-20,133.01,134.95,132.77,134.77,132.7489,11579600,
2024-09-23,134.7,136.09,134.69,135.64,133.6058,2638400,
2024-09-24,136.47,137.94,136.35,137.22,135.1621,3145300,
2024-09-25,137.23,137.89,136.04,136.6,134.5514,3579900,
2024-09-26,137.56,140.72,137.55,139.44,137.3488,4111100,
2024-09-27,139.0,139.29,137.05,137.3,135.2409,2956100,
2024-09-30,137.83,137.95,135.23,136.7,134.6499,3814000,
2024-10-01,136.0,137.34,134.9,137.06,135.0045,3050500,
2024-10-02,137.22,137.22,135.37,135.43,133.399,2624900,
2024-10-03,135.0,135.6,133.84,134.78,132.7587,2504900,
