date,open,high,low,close,adjusted_close,volume,warning
2024-05-28,429.63,430.82,426.6,430.32,427.0459,15718000,
2024-05-29,425.69,430.94,425.69,429.17,425.9046,15517100,
2024-05-30,424.3,424.3,414.24,414.67,411.5149,28424800,
2024-05-31,416.75,416.75,404.51,415.13,411.9714,47995300,
2024-06-03,415.53,416.43,408.92,413.52,410.3737,17484700,
2024-06-04,412.43,416.44,409.68,416.07,412.9043,14348900,
2024-06-05,417.81,424.08,416.3,424.01,420.7839,16988000,
2024-06-06,424.01,425.31,420.58,424.52,421.29,14861300,
2024-06-07,426.2,426.28,423.0,423.85,420.6251,13621700,
2024-06-10,424.7,428.08,423.89,427.87,424.6145,14003000,
2024-06-11,425.48,432.82,425.25,432.68,429.3879,14551100,
2024-06-12,435.32,443.4,433.25,441.06,437.7042,22366200,
2024-06-13,440.85,443.39,439.37,441.58,438.2202,15960600,
2024-06-14,438.28,443.14,436.72,442.57,439.2027,13582000,
2024-06-17,442.59,450.94,440.72,448.37,444.9585,20790000,
2024-06-18,449.71,450.14,444.89,446.34,442.944,17112500,
2024-06-20,446.3,446.53,441.27,445.7,442.3088,19877400,
2024-06-21,447.38,450.58,446.51,449.78,446.3578,34486200,
2024-06-24,449.8,452.75,446.41,447.67,444.2639,15913700,
2024-06-25,448.25,451.42,446.75,450.95,447.5189,16747500,
2024-06-26,449.0,453.6,448.19,452.16,448.7197,16507000,
2024-06-27,452.18,456.17,451.77,452.85,449.4044,14806300,
2024-06-28,453.07,455.38,446.41,446.95,443.5493,28362300,
2024-07-01,448.66,457.37,445.66,456.73,453.2549,17662800,
2024-07-02,453.2,459.59,453.11,459.28,455.7855,13979800,
2024-07-03,458.19,461.02,457.88,460.77,457.2642,9932800,
2024-07-05,459.61,468.35,458.97,467.56,464.0025,16000300,
2024-07-08,466.55,467.7,464.46,466.24,462.6926,12962300,
2024-07-09,467.0,467.33,458.0,459.54,456.0435,17207200,
2024-07-10,461.22,466.46,458.86,466.25,462.7025,18196100,
2024-07-11,462.98,464.78,451.55,454.7,451.2404,23111200,
2024-07-12,454.33,456.36,450.65,453.55,450.0991,16324300,
2024-07-15,453.3,457.26,451.43,453.96,450.506,14429400,
2024-07-16,454.22,454.3,446.66,449.52,446.0998,17175700,
2024-07-17,442.59,444.85,439.18,443.52,440.1454,21778000,
2024-07-18,444.34,444.65,434.4,440.37,437.0194,20794800,
2024-07-19,433.1,441.14,432.0,437.11,433.7842,20940400,
2024-07-22,441.79,444.6,438.91,442.94,439.5698,15808800,
2024-07-23,443.9,448.39,443.1,444.85,441.4653,13107100,
2024-07-24,440.45,441.48,427.59,428.9,425.6367,26805800,
2024-07-25,428.8,429.8,417.51,418.4,415.2166,29943800,
2024-07-26,418.2,428.92,417.27,425.27,422.0343,23583800,
2024-07-29,431.58,432.15,424.7,426.73,423.4832,15125800,
2024-07-30,427.72,429.05,417.36,422.92,419.7022,32687600,
2024-07-31,420.5,421.78,412.21,418.35,415.1669,42891400,
2024-08-01,420.79,427.46,413.09,417.11,413.9364,30296400,
2024-08-02,412.49,415.0,404.34,408.49,405.382,29437900,
2024-08-05,389.17,401.04,385.58,395.15,392.1435,40709200,
2024-08-06,400.0,405.67,398.5,399.61,396.5695,24946500,
2024-08-07,408.64,410.08,397.47,398.43,395.3985,20650900,
2024-08-08,402.44,405.86,399.94,402.69,399.6261,20203000,
2024-08-09,404.03,408.05,402.26,406.02,402.9308,19276700,
2024-08-12,407.06,408.76,404.24,406.81,403.7147,16762900,
2024-08-13,409.59,414.95,409.57,414.01,410.86,19414300,
2024-08-14,414.8,417.72,412.45,416.86,413.6883,18267000,
2024-08-15,419.8,421.11,417.66,421.03,418.5796,20752100,
2024-08-16,420.6,421.34,417.3,418.47,416.0345,22775600,
2024-08-19,418.96,421.75,416.46,421.53,419.0767,15234000,
2024-08-20,421.7,425.86,421.64,424.8,422.3277,16387600,
2024-08-21,424.08,426.4,421.72,424.14,421.6715,16067300,
2024-08-22,424.36,426.79,414.61,415.55,413.1315,19361900,
2024-08-23,416.98,419.26,412.09,416.79,414.3643,18493800,
2024-08-26,416.37,417.28,411.34,413.49,411.0835,13152800,
2024-08-27,412.86,414.36,410.25,413.84,411.4315,13492900,
2024-08-28,414.88,415.0,407.31,410.6,408.2103,14882700,
2024-08-29,414.94,422.05,410.6,413.12,410.7157,17045200,
2024-08-30,415.6,417.49,412.13,417.14,414.7123,24308300,
2024-09-03,417.91,419.88,407.03,409.44,407.0571,20313600,
2024-09-04,405.91,411.24,404.37,408.9,406.5202,15135800,
2024-09-05,407.62,413.1,406.13,408.39,406.0132,14195500,
2024-09-06,409.06,410.65,400.8,401.7,399.3621,19609500,
2024-09-09,407.24,408.65,402.15,405.72,403.3587,15295100,
2024-09-10,408.2,416.33,407.7,414.2,411.7894,19594300,
2024-09-11,415.5,423.99,409.58,423.04,420.5779,19266900,
2024-09-12,423.31,427.37,419.75,427.0,424.5149,17418800,
2024-09-13,425.83,431.83,425.46,430.59,428.084,15874600,
2024-09-16,430.6,433.53,428.22,431.34,428.8296,13834700,
2024-09-17,440.23,441.85,432.27,435.15,432.6175,18874200,
2024-09-18,435.0,436.03,430.41,430.81,428.3027,18898000,
2024-09-19,441.23,441.5,436.9,438.69,436.1369,21706600,
2024-09-20,437.22,439.24,434.22,435.27,432.7368,55167100,
2024-09-23,434.28,436.46,430.39,433.51,430.987,15128900,
2024-09-24,433.0,433.35,426.1,429.17,426.6723,17015800,
2024-09-25,429.83,433.12,428.57,432.11,429.5952,13396400,
2024-09-26,435.09,435.3,429.13,431.31,428.7998,14492000,
2024-09-27,431.52,431.85,427.47,428.02,425.529,14896100,
2024-09-30,428.21,430.42,425.37,430.3,427.7957,16807300,
2024-10-01,428.45,428.48,418.81,420.69,418.2416,19092900,
2024-10-02,422.58,422.82,416.71,417.13,414.7023,16582300,
2024-10-03,417.63,419.55,414.29,416.54,414.1158,13686400,
2024-10-04,418.24,419.75,414.97,416.06,413.6386,19169700,
2024-10-07,416.0,417.11,409.0,409.54,407.1565,20919800,
2024-10-08,410.9,415.66,408.17,414.71,412.2964,19229300,
