Date,Open,High,Low,Close,Adjusted_close,Volume
"PLEASE NOTE! It's a sample only. All prices are outdated for 2 weeks ago. With API key you will get up to date prices. Thanks!",,,,,,
2025-04-28,23.03,23.29,22.9,23.05,22.6185,55888900
2025-04-29,22.83,24.12,22.46,23.79,23.3446,98540200
2025-04-30,24.2,24.44,23.98,24.41,23.953,53941700
2025-05-01,24.3,24.33,23.8,23.93,23.482,46891700
2025-05-02,24.28,24.3,23.97,24.2,23.747,41685800
2025-05-05,24.2,24.25,23.85,23.87,23.4232,40811800
2025-05-06,23.83,23.89,22.85,22.88,22.4517,60872600
2025-05-07,22.99,23.09,22.72,22.79,22.3634,48270500
2025-05-08,22.82,23.09,22.51,22.97,22.54,55669800
2025-05-09,22.51,22.6,22.26,22.28,22.28,39059800
